Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:68, cumin:158, oregano:146 → cumin (158 / 372) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:3, cumin:20, oregano:348 → oregano (348 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:43, oregano:330 → oregano (330 / 373) ❌",-0.124,100.0,100.0
long_overlap_no_benzene_no_alcohol,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],91.07,98.83,74.66,99.34,"[cloves.today.843ca8e0e6a8.csv] cloves:87, cumin:13, oregano:277 → oregano (277 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:6, cumin:14, oregano:356 → oregano (356 / 376) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:47, cumin:91, oregano:240 → oregano (240 / 378) ❌",-0.141,91.07,91.07
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.33,100.0,97.98,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:2, cumin:68, oregano:307 → oregano (307 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:22, oregano:354 → oregano (354 / 376) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:16, cumin:110, oregano:252 → oregano (252 / 378) ❌",-0.18,99.33,99.33
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",96.14,90.64,97.97,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:14, cumin:107, oregano:251 → oregano (251 / 372) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:8, cumin:22, oregano:341 → oregano (341 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:29, oregano:344 → oregano (344 / 373) ❌",-0.226,96.14,96.14
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],94.75,86.26,97.97,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:1, cumin:33, oregano:343 → oregano (343 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:8, oregano:368 → oregano (368 / 376) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:68, oregano:310 → oregano (310 / 378) ❌",-0.25,94.75,94.75
long_overlap_first_4,60,5,"[0, 1, 2, 3]",['standard_scaler'],99.89,99.67,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:0, cumin:377, oregano:0 → cumin (377 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ✅",-0.333,99.89,99.89
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],99.89,99.67,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:0, cumin:0, oregano:377 → oregano (377 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:0, oregano:376 → oregano (376 / 376) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:0, oregano:378 → oregano (378 / 378) ❌",-0.333,99.89,99.89
long_overlap_first_4,60,5,"[0, 1, 2, 3]",None,100.0,100.0,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:0, cumin:377, oregano:0 → cumin (377 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ✅",-0.333,100.0,100.0
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:0, cumin:377, oregano:0 → cumin (377 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ✅",-0.333,100.0,100.0
long_overlap_no_benzene_no_alcohol,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:0, cumin:0, oregano:377 → oregano (377 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:0, oregano:376 → oregano (376 / 376) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:0, oregano:378 → oregano (378 / 378) ❌",-0.333,100.0,100.0
long_overlap_no_benzene_no_alcohol,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],100.0,100.0,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:0, cumin:377, oregano:0 → cumin (377 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.a86d630d3dc6.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ✅",-0.333,100.0,100.0
