Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],81.25,88.89,80.0,76.92,93.33,80.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:1, cumin:18, oregano:0 → cumin (18 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:7, cumin:12, oregano:0 → cumin (12 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:5, oregano:0 → cumin (5 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:2, oregano:0 → cloves (3 / 5) ✅",0.795,-12.08,12.08
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],89.38,96.26,85.22,86.73,92.77,89.66,89.29,100.0,"[cumin.real.9511a582c32f.csv] cloves:8, cumin:81, oregano:7 → cumin (81 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:79, oregano:17 → cumin (79 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:27, oregano:2 → cumin (27 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:16, cumin:0, oregano:13 → cloves (16 / 29) ✅",0.787,-3.39,3.39
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],97.09,100.0,98.92,92.22,79.7,95.73,97.37,42.31,"[cumin.real.9511a582c32f.csv] cloves:72, cumin:303, oregano:8 → cumin (303 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:69, cumin:311, oregano:3 → cumin (311 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:113, oregano:0 → cumin (113 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:54, cumin:21, oregano:40 → cloves (54 / 115) ✅",0.764,17.39,17.39
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],81.25,87.5,61.54,100.0,86.67,80.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:10, oregano:9 → cumin (10 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:3, oregano:1 → cumin (3 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:0, oregano:2 → cloves (3 / 5) ✅",0.682,-5.42,5.42
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],93.26,94.42,95.15,90.02,80.29,83.61,94.12,61.47,"[cumin.real.9511a582c32f.csv] cloves:40, cumin:223, oregano:125 → cumin (223 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:185, cumin:203, oregano:0 → cumin (203 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:117, oregano:3 → cumin (117 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:55, cumin:32, oregano:33 → cloves (55 / 120) ✅",0.633,12.97,12.97
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",94.93,97.94,95.34,91.32,84.0,89.34,94.96,66.06,"[cumin.real.9511a582c32f.csv] cloves:55, cumin:197, oregano:136 → cumin (197 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:10, cumin:195, oregano:183 → cumin (195 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:116, oregano:4 → cumin (116 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:65, cumin:21, oregano:34 → cloves (65 / 120) ✅",0.63,10.93,10.93
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],71.88,95.65,91.67,11.76,76.47,100.0,100.0,20.0,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:8, oregano:0 → cloves (11 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅",0.522,-4.59,4.59
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],93.18,99.15,91.13,89.19,83.91,93.33,93.33,62.96,"[cumin.real.9511a582c32f.csv] cloves:1, cumin:28, oregano:68 → oregano (68 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:6, cumin:91, oregano:0 → cumin (91 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, oregano:1 → cumin (29 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:1, oregano:6 → cloves (23 / 30) ✅",0.493,9.27,9.27
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,90.29,100.0,94.12,75.23,"[cumin.real.9511a582c32f.csv] cloves:17, cumin:371, oregano:0 → cumin (371 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:261, cumin:127, oregano:0 → cloves (261 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:118, oregano:0 → cumin (118 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:84, cumin:34, oregano:2 → cloves (84 / 120) ✅",0.492,9.71,9.71
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,96.15,100.0,100.0,87.5,"[cumin.real.9511a582c32f.csv] cloves:3, cumin:60, oregano:0 → cumin (60 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",0.488,3.85,3.85
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],89.06,83.33,86.36,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:18, oregano:0 → cumin (18 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ❌",0.487,-10.94,10.94
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.48,98.25,100.0,100.0,98.08,94.44,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:57, oregano:0 → cumin (57 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:37, cumin:21, oregano:5 → cloves (37 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:0, oregano:8 → cloves (10 / 18) ✅",0.454,1.4,1.4
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.27,100.0,98.71,99.1,89.25,96.58,94.74,75.0,"[cumin.real.9511a582c32f.csv] cloves:88, cumin:283, oregano:12 → cumin (283 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:197, cumin:185, oregano:1 → cloves (197 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:110, oregano:3 → cumin (110 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:66, cumin:13, oregano:36 → cloves (66 / 115) ✅",0.439,10.02,10.02
