Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],99.43,100.0,100.0,98.18,90.8,100.0,93.33,77.78,"[cumin.real.9511a582c32f.csv] cloves:54, cumin:43, oregano:0 → cloves (54 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:97, cumin:0, oregano:0 → cloves (97 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:2 → cumin (28 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ✅",0.094,8.63,8.63
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",99.11,99.35,100.0,97.84,93.58,86.84,100.0,94.12,"[cumin.real.9511a582c32f.csv] cloves:73, cumin:54, oregano:0 → cloves (73 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, oregano:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:31, cumin:1, oregano:5 → cloves (31 / 37) ✅",0.066,5.53,5.53
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",98.75,100.0,99.11,97.09,91.57,100.0,96.43,76.92,"[cumin.real.9511a582c32f.csv] cloves:68, cumin:26, oregano:2 → cloves (68 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, oregano:0 → cloves (29 / 29) ✅",0.064,7.18,7.18
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",99.69,100.0,99.16,100.0,92.77,93.1,96.43,88.46,"[cumin.real.9511a582c32f.csv] cloves:56, cumin:31, oregano:9 → cloves (56 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:26, oregano:2 → cumin (26 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:0, oregano:2 → cloves (27 / 29) ✅",0.061,6.92,6.92
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.4,100.0,94.12,98.46,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:51, cumin:12, oregano:0 → cloves (51 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:0, oregano:1 → cloves (17 / 18) ✅",0.034,-2.6,2.6
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",92.5,99.01,98.33,78.79,80.72,100.0,92.86,46.15,"[cumin.real.9511a582c32f.csv] cloves:73, cumin:6, oregano:17 → cloves (73 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, oregano:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:0, oregano:4 → cloves (25 / 29) ✅",0.025,11.78,11.78
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",95.31,99.35,98.71,87.05,90.83,94.74,100.0,76.47,"[cumin.real.9511a582c32f.csv] cloves:90, cumin:32, oregano:5 → cloves (90 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:126, cumin:1, oregano:0 → cloves (126 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:1, oregano:11 → cloves (25 / 37) ✅",-0.006,4.48,4.48
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",93.75,100.0,90.91,90.62,94.23,100.0,100.0,81.25,"[cumin.real.9511a582c32f.csv] cloves:54, cumin:9, oregano:0 → cloves (54 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:13, cumin:0, oregano:5 → cloves (13 / 18) ✅",-0.034,-0.48,0.48
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",59.38,0.0,77.78,100.0,66.67,0.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:1, oregano:18 → oregano (18 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:4, oregano:1 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:5 → oregano (5 / 5) ❌",-0.037,-7.29,7.29
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",40.62,0.0,30.0,100.0,53.33,0.0,60.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:4, oregano:1 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:5 → oregano (5 / 5) ❌",-0.05,-12.71,12.71
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",85.31,98.11,89.38,67.33,81.93,100.0,92.86,50.0,"[cumin.real.9511a582c32f.csv] cloves:82, cumin:4, oregano:10 → cloves (82 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:25, oregano:4 → cumin (25 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:11 → cloves (18 / 29) ✅",-0.093,3.38,3.38
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",68.75,81.82,27.27,100.0,73.33,100.0,20.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:18, cumin:0, oregano:1 → cloves (18 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:2, oregano:2 → cumin (2 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:0, oregano:2 → cloves (3 / 5) ✅",-0.211,-4.58,4.58
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",88.39,81.17,87.74,97.12,85.32,63.16,97.3,97.06,"[cumin.real.9511a582c32f.csv] cloves:72, cumin:35, oregano:20 → cloves (72 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:126, cumin:1, oregano:0 → cloves (126 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:9, cumin:1, oregano:27 → oregano (27 / 37) ❌",-0.322,3.07,3.07
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",53.12,0.0,60.0,91.67,66.67,0.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:9, oregano:10 → oregano (10 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:13, cumin:5, oregano:1 → cloves (13 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:4, oregano:1 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:5 → oregano (5 / 5) ❌",-0.353,-13.55,13.55
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",91.07,98.67,97.22,77.92,78.18,89.47,100.0,41.18,"[cumin.real.9511a582c32f.csv] cloves:32, cumin:31, oregano:0 → cloves (32 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:1, oregano:18 → oregano (18 / 19) ❌",-0.364,12.89,12.89
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],95.54,100.0,90.91,95.92,70.18,100.0,12.82,100.0,"[cumin.real.9511a582c32f.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:81, cumin:0, oregano:47 → cloves (81 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅",-0.408,25.36,25.36
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],96.02,100.0,90.32,98.21,74.71,100.0,26.67,100.0,"[cumin.real.9511a582c32f.csv] cloves:97, cumin:0, oregano:0 → cloves (97 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:62, cumin:20, oregano:15 → cloves (62 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ✅",-0.41,21.31,21.31
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],99.31,100.0,98.38,99.57,96.57,100.0,90.76,99.08,"[cumin.real.9511a582c32f.csv] cloves:388, cumin:0, oregano:0 → cloves (388 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:256, cumin:0, oregano:132 → cloves (256 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:120, cumin:0, oregano:0 → cloves (120 / 120) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:120, cumin:0, oregano:0 → cloves (120 / 120) ✅",-0.415,2.74,2.74
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",87.5,94.83,90.14,77.78,84.62,94.44,100.0,56.25,"[cumin.real.9511a582c32f.csv] cloves:52, cumin:5, oregano:6 → cloves (52 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:2, cumin:0, oregano:16 → oregano (16 / 18) ❌",-0.429,2.88,2.88
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],98.66,100.0,95.89,100.0,96.36,100.0,89.47,100.0,"[cumin.real.9511a582c32f.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:49, cumin:14, oregano:0 → cloves (49 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",-0.444,2.3,2.3
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",None,87.5,95.0,84.0,84.21,88.24,100.0,66.67,100.0,"[cumin.real.9511a582c32f.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:16, cumin:3, oregano:0 → cloves (16 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅",-0.461,-0.74,0.74
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,93.18,99.15,89.43,90.99,65.52,100.0,0.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:97, cumin:0, oregano:0 → cloves (97 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:84, cumin:0, oregano:13 → cloves (84 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ✅",-0.466,27.66,27.66
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,62.5,22.73,82.61,84.21,64.71,16.67,83.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:17, cumin:0, oregano:2 → cloves (17 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅",-0.474,-2.21,2.21
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,99.03,100.0,97.37,99.78,65.71,100.0,0.0,99.08,"[cumin.real.9511a582c32f.csv] cloves:388, cumin:0, oregano:0 → cloves (388 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:362, cumin:0, oregano:26 → cloves (362 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:120, cumin:0, oregano:0 → cloves (120 / 120) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:120, cumin:0, oregano:0 → cloves (120 / 120) ✅",-0.483,33.32,33.32
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,99.55,100.0,98.7,100.0,64.91,100.0,0.0,97.14,"[cumin.real.9511a582c32f.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:120, cumin:0, oregano:8 → cloves (120 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅",-0.484,34.64,34.64
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",None,99.1,100.0,97.37,100.0,96.57,99.18,90.76,100.0,"[cumin.real.9511a582c32f.csv] cloves:388, cumin:0, oregano:0 → cloves (388 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:366, cumin:0, oregano:22 → cloves (366 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:120, cumin:0, oregano:0 → cloves (120 / 120) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:120, cumin:0, oregano:0 → cloves (120 / 120) ✅",-0.486,2.53,2.53
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",None,99.55,100.0,99.34,99.32,65.79,100.0,2.56,97.14,"[cumin.real.9511a582c32f.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:121, cumin:0, oregano:7 → cloves (121 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅",-0.486,33.76,33.76
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",46.88,0.0,0.0,100.0,40.0,0.0,20.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:0, oregano:5 → oregano (5 / 5) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:5 → oregano (5 / 5) ❌",-0.5,6.88,6.88
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],87.5,84.21,80.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅",-0.5,-12.5,12.5
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",None,91.48,100.0,83.61,90.91,65.52,100.0,0.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:97, cumin:0, oregano:0 → cloves (97 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:97, cumin:0, oregano:0 → cloves (97 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ✅",-0.5,25.96,25.96
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,92.41,100.0,86.3,91.03,65.45,100.0,0.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",-0.5,26.96,26.96
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",None,93.3,100.0,88.89,91.03,65.45,100.0,0.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",-0.5,27.85,27.85
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],100.0,100.0,100.0,100.0,57.02,100.0,10.26,60.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:128 → oregano (128 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:4, cumin:0, oregano:124 → oregano (124 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:0, oregano:39 → oregano (39 / 39) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:39 → oregano (39 / 39) ❌",-0.992,42.98,42.98
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],99.72,100.0,100.0,99.08,68.97,100.0,13.33,96.3,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:97 → oregano (97 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:0, oregano:95 → oregano (95 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:0, oregano:30 → oregano (30 / 30) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:30 → oregano (30 / 30) ❌",-0.995,30.75,30.75
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",31.25,0.0,0.0,100.0,33.33,0.0,0.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:0, oregano:5 → oregano (5 / 5) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:5 → oregano (5 / 5) ❌",-1.0,-2.08,2.08
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],100.0,100.0,100.0,100.0,96.36,100.0,89.47,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌",-1.0,3.64,3.64
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],99.38,98.35,100.0,99.78,44.86,99.18,0.0,33.03,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:388 → oregano (388 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, oregano:388 → oregano (388 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:0, oregano:120 → oregano (120 / 120) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:0, cumin:0, oregano:120 → oregano (120 / 120) ❌",-1.0,54.52,54.52
