Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.11,100.0,98.71,98.56,84.4,97.37,100.0,52.94,"[cumin.real.9511a582c32f.csv] cloves:46, cumin:81, oregano:0 → cumin (81 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:81, cumin:45, oregano:1 → cloves (81 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, oregano:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:22, cumin:0, oregano:15 → cloves (22 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:41, cumin:33, oregano:0 → cloves (41 / 74) ✅",0.404,14.71,14.71
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],98.86,100.0,98.37,98.21,90.8,93.33,96.67,81.48,"[cumin.real.9511a582c32f.csv] cloves:3, cumin:94, oregano:0 → cumin (94 / 97) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:22, cumin:75, oregano:0 → cumin (75 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:88, oregano:0 → cumin (88 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, oregano:0 → cloves (30 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:5, cumin:52, oregano:0 → cumin (52 / 57) ❌",0.365,8.06,8.06
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",98.11,99.78,97.85,96.66,94.63,90.6,100.0,93.27,"[cumin.real.9511a582c32f.csv] cloves:271, cumin:97, oregano:15 → cloves (271 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:322, cumin:57, oregano:4 → cloves (322 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:243, cumin:140, oregano:0 → cloves (243 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:110, oregano:5 → cumin (110 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:101, cumin:12, oregano:2 → cloves (101 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:170, cumin:49, oregano:5 → cloves (170 / 224) ✅",0.349,3.48,3.48
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],94.64,100.0,93.06,91.03,78.18,89.47,100.0,41.18,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:42, oregano:21 → cumin (42 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:11, cumin:16, oregano:36 → oregano (36 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:17, cumin:46, oregano:0 → cumin (46 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:15, cumin:2, oregano:2 → cloves (15 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:17, oregano:20 → oregano (20 / 37) ❌",0.346,16.46,16.46
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,96.36,100.0,100.0,88.24,"[cumin.real.9511a582c32f.csv] cloves:52, cumin:11, oregano:0 → cloves (52 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:60, cumin:3, oregano:0 → cloves (60 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:36, cumin:1, oregano:0 → cloves (36 / 37) ✅",0.332,3.64,3.64
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",93.68,93.18,96.97,90.67,80.57,82.79,94.96,62.39,"[cumin.real.9511a582c32f.csv] cloves:54, cumin:190, oregano:144 → cumin (190 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:120, cumin:127, oregano:141 → oregano (141 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:344, oregano:44 → cumin (344 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:115, oregano:5 → cumin (115 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:52, cumin:23, oregano:45 → cloves (52 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:37, cumin:99, oregano:93 → cumin (99 / 229) ❌",0.329,13.11,13.11
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.5,100.0,96.46,96.12,87.95,89.66,92.86,80.77,"[cumin.real.9511a582c32f.csv] cloves:79, cumin:15, oregano:2 → cloves (79 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:93, cumin:3, oregano:0 → cloves (93 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:27, oregano:2 → cumin (27 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:0, oregano:2 → cloves (27 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:51, cumin:5, oregano:0 → cloves (51 / 56) ✅",0.32,9.55,9.55
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",93.75,94.83,86.96,100.0,98.08,100.0,94.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:20, cumin:41, oregano:2 → cumin (41 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:14, cumin:41, oregano:8 → cumin (41 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:54, oregano:0 → cumin (54 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:16, oregano:1 → cumin (16 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:1, oregano:0 → cloves (17 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:7, cumin:29, oregano:0 → cumin (29 / 36) ❌",0.314,-4.33,4.33
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.11,99.35,98.71,99.28,91.74,100.0,100.0,73.53,"[cumin.real.9511a582c32f.csv] cloves:35, cumin:92, oregano:0 → cumin (92 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:47, cumin:80, oregano:0 → cumin (80 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:26, cumin:101, oregano:0 → cumin (101 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:33, cumin:4, oregano:0 → cloves (33 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:63, oregano:0 → cumin (63 / 74) ❌",0.313,7.37,7.37
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],90.31,96.15,84.21,91.18,97.59,100.0,92.86,100.0,"[cumin.real.9511a582c32f.csv] cloves:9, cumin:87, oregano:0 → cumin (87 / 96) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:29, cumin:67, oregano:0 → cumin (67 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:95, oregano:0 → cumin (95 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:26, oregano:2 → cumin (26 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:10, oregano:0 → cloves (19 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:7, cumin:49, oregano:0 → cumin (49 / 56) ❌",0.312,-7.28,7.28
