Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",98.12,100.0,100.0,94.17,90.36,96.55,96.43,76.92,"[cumin.24c868eadb47.csv] cloves:0, cumin:29, oregano:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:28, cumin:0, oregano:1 → cloves (28 / 29) ✅",0.983,7.76,7.76
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,98.17,100.0,100.0,94.12,"[cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:36, cumin:0, oregano:1 → cloves (36 / 37) ✅",0.973,1.83,1.83
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",96.35,100.0,90.0,100.0,96.15,100.0,100.0,87.5,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:0, oregano:1 → cloves (17 / 18) ✅",0.972,0.2,0.2
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.72,100.0,99.2,100.0,90.8,96.67,93.33,81.48,"[cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:28, cumin:2, oregano:0 → cloves (28 / 30) ✅",0.967,8.92,8.92
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",['diff_data_like'],98.12,99.07,97.41,97.92,89.16,100.0,89.29,76.92,"[cumin.24c868eadb47.csv] cloves:1, cumin:27, oregano:1 → cumin (27 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, oregano:0 → cloves (29 / 29) ✅",0.966,8.96,8.96
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.11,99.35,98.06,100.0,98.17,100.0,97.3,97.06,"[cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:36, cumin:1, oregano:0 → cloves (36 / 37) ✅",0.959,0.94,0.94
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,91.23,100.0,94.87,77.14,"[cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:35, cumin:4, oregano:0 → cloves (35 / 39) ✅",0.949,8.77,8.77
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.82,98.92,99.14,95.3,93.43,88.89,96.49,95.19,"[cumin.24c868eadb47.csv] cloves:0, cumin:114, oregano:1 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:104, cumin:11, oregano:0 → cloves (104 / 115) ✅",0.948,4.39,4.39
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.55,100.0,98.63,100.0,94.55,100.0,94.74,88.24,"[cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ✅",0.947,5.0,5.0
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.93,100.0,99.78,100.0,86.57,100.0,98.25,58.65,"[cumin.24c868eadb47.csv] cloves:1, cumin:110, oregano:4 → cumin (110 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:106, cumin:5, oregano:4 → cloves (106 / 115) ✅",0.939,13.36,13.36
