Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],96.43,98.63,94.59,96.1,89.09,89.47,100.0,76.47,"[cumin.real.9511a582c32f.csv] cloves:25, cumin:38, oregano:0 → cumin (38 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:52, cumin:11, oregano:0 → cloves (52 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [oregano.real.552189cd9ba7.csv] cloves:49, cumin:14, oregano:0 → cloves (49 / 63) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:27, cumin:10, oregano:0 → cloves (27 / 37) ✅",0.626,7.34,7.34
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],97.99,99.32,98.01,96.67,80.7,95.0,97.44,45.71,"[cumin.real.9511a582c32f.csv] cloves:56, cumin:72, oregano:0 → cumin (72 / 128) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:102, cumin:26, oregano:0 → cloves (102 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:5, cumin:123, oregano:0 → cumin (123 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [oregano.real.552189cd9ba7.csv] cloves:80, cumin:48, oregano:0 → cloves (80 / 128) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:42, cumin:33, oregano:0 → cloves (42 / 75) ✅",0.608,17.29,17.29
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],67.19,100.0,87.5,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:12, cumin:7, oregano:0 → cloves (12 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [oregano.real.552189cd9ba7.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:2, oregano:0 → cloves (9 / 11) ✅",0.485,-3.4,3.4
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",64.06,100.0,86.96,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [oregano.real.552189cd9ba7.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:2, oregano:0 → cloves (9 / 11) ✅",0.433,-6.53,6.53
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,94.33,87.18,98.25,98.08,"[cumin.real.9511a582c32f.csv] cloves:229, cumin:80, oregano:74 → cloves (229 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:268, cumin:54, oregano:61 → cloves (268 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:84, cumin:299, oregano:0 → cumin (299 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:106, oregano:9 → cumin (106 / 115) ✅ | [oregano.real.552189cd9ba7.csv] cloves:314, cumin:62, oregano:5 → cloves (314 / 381) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:102, cumin:11, oregano:2 → cloves (102 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:161, cumin:38, oregano:25 → cloves (161 / 224) ✅",0.369,5.67,5.67
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",98.86,98.29,98.37,100.0,95.4,96.67,96.67,92.59,"[cumin.real.9511a582c32f.csv] cloves:86, cumin:11, oregano:0 → cloves (86 / 97) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:91, cumin:6, oregano:0 → cloves (91 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:12, cumin:85, oregano:0 → cumin (85 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [oregano.real.552189cd9ba7.csv] cloves:94, cumin:2, oregano:0 → cloves (94 / 96) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:11, oregano:0 → cloves (19 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:54, cumin:3, oregano:0 → cloves (54 / 57) ✅",0.361,3.46,3.46
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",95.07,96.07,95.77,93.26,84.0,88.52,94.96,66.97,"[cumin.real.9511a582c32f.csv] cloves:93, cumin:179, oregano:116 → cumin (179 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:157, cumin:110, oregano:121 → cloves (157 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:119, cumin:269, oregano:0 → cumin (269 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:4, cumin:116, oregano:0 → cumin (116 / 120) ✅ | [oregano.real.552189cd9ba7.csv] cloves:319, cumin:62, oregano:5 → cloves (319 / 386) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:57, cumin:15, oregano:48 → cloves (57 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:56, cumin:89, oregano:84 → cumin (89 / 229) ❌",0.255,11.07,11.07
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],75.0,100.0,37.5,81.25,86.67,80.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:8, cumin:11, oregano:0 → cumin (11 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:9, cumin:9, oregano:1 → cloves (9 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:13, cumin:5, oregano:1 → cloves (13 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:2, oregano:1 → cloves (2 / 5) ❌ | [oregano.real.552189cd9ba7.csv] cloves:8, cumin:2, oregano:9 → oregano (9 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:0, oregano:2 → cloves (3 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:3, oregano:0 → cloves (8 / 11) ✅",0.253,-11.67,11.67
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.42,100.0,98.27,100.0,85.67,100.0,100.0,53.85,"[cumin.real.9511a582c32f.csv] cloves:161, cumin:206, oregano:16 → cumin (206 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:241, cumin:104, oregano:38 → cloves (241 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:383, cumin:0, oregano:0 → cloves (383 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:112, oregano:1 → cumin (112 / 115) ✅ | [oregano.real.552189cd9ba7.csv] cloves:381, cumin:0, oregano:0 → cloves (381 / 381) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:103, cumin:9, oregano:3 → cloves (103 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:115, cumin:105, oregano:4 → cloves (115 / 224) ✅",0.221,13.75,13.75
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],98.58,100.0,100.0,95.5,93.1,100.0,96.67,81.48,"[cumin.real.9511a582c32f.csv] cloves:18, cumin:79, oregano:0 → cumin (79 / 97) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:66, cumin:31, oregano:0 → cloves (66 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:97, cumin:0, oregano:0 → cloves (97 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [oregano.real.552189cd9ba7.csv] cloves:56, cumin:40, oregano:0 → cloves (56 / 96) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:1, oregano:0 → cloves (29 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:16, cumin:41, oregano:0 → cumin (41 / 57) ❌",0.166,5.48,5.48
