Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.78,100.0,100.0,99.28,95.41,100.0,97.3,88.24,"[cumin.real.9511a582c32f.csv] cloves:14, cumin:113, oregano:0 → cumin (113 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:33, cumin:94, oregano:0 → cumin (94 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:125, oregano:0 → cumin (125 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [oregano.real.552189cd9ba7.csv] cloves:56, cumin:70, oregano:0 → cumin (70 / 126) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:8, oregano:0 → cloves (29 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:66, oregano:0 → cumin (66 / 74) ❌",0.206,4.37,4.37
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],98.96,98.31,100.0,98.46,98.08,94.44,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:5, cumin:57, oregano:1 → cumin (57 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:42, oregano:4 → cumin (42 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:61, oregano:2 → cumin (61 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:19, cumin:29, oregano:14 → cumin (29 / 62) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:11, cumin:0, oregano:7 → cloves (11 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:4, cumin:32, oregano:0 → cumin (32 / 36) ❌",0.201,0.88,0.88
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",98.18,99.78,98.28,96.44,96.42,95.73,99.12,94.23,"[cumin.real.9511a582c32f.csv] cloves:214, cumin:136, oregano:33 → cloves (214 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:320, cumin:41, oregano:22 → cloves (320 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:313, cumin:70, oregano:0 → cloves (313 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:114, oregano:1 → cumin (114 / 115) ✅ | [oregano.real.552189cd9ba7.csv] cloves:355, cumin:9, oregano:17 → cloves (355 / 381) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:111, cumin:4, oregano:0 → cloves (111 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:170, cumin:41, oregano:13 → cloves (170 / 224) ✅",0.178,1.76,1.76
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],90.0,93.46,85.34,91.75,98.8,100.0,96.43,100.0,"[cumin.real.9511a582c32f.csv] cloves:16, cumin:80, oregano:0 → cumin (80 / 96) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:35, cumin:61, oregano:0 → cumin (61 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:18, cumin:77, oregano:1 → cumin (77 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:27, oregano:2 → cumin (27 / 29) ✅ | [oregano.real.552189cd9ba7.csv] cloves:65, cumin:29, oregano:1 → cloves (65 / 95) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:6, oregano:0 → cloves (23 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:46, oregano:0 → cumin (46 / 56) ❌",0.174,-8.8,8.8
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.81,99.04,99.14,95.0,91.57,96.55,96.43,80.77,"[cumin.real.9511a582c32f.csv] cloves:65, cumin:29, oregano:2 → cloves (65 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:94, cumin:2, oregano:0 → cloves (94 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, oregano:0 → cumin (29 / 29) ✅ | [oregano.real.552189cd9ba7.csv] cloves:94, cumin:1, oregano:0 → cloves (94 / 95) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, oregano:0 → cloves (29 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:49, cumin:7, oregano:0 → cloves (49 / 56) ✅",0.17,6.24,6.24
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",92.19,85.48,93.94,96.88,98.08,100.0,94.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:53, oregano:0 → cumin (53 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:7, cumin:55, oregano:1 → cumin (55 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:16, oregano:1 → cumin (16 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:22, cumin:40, oregano:0 → cumin (40 / 62) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:14, cumin:4, oregano:0 → cloves (14 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:4, cumin:32, oregano:0 → cumin (32 / 36) ❌",0.157,-5.89,5.89
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],95.42,95.25,95.97,95.0,84.0,84.43,94.96,71.56,"[cumin.real.9511a582c32f.csv] cloves:103, cumin:212, oregano:73 → cumin (212 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:131, cumin:161, oregano:96 → cumin (161 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:388, oregano:0 → cumin (388 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:9, cumin:95, oregano:16 → cumin (95 / 120) ✅ | [oregano.real.552189cd9ba7.csv] cloves:328, cumin:56, oregano:2 → cloves (328 / 386) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:61, cumin:30, oregano:29 → cloves (61 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:47, cumin:120, oregano:62 → cumin (120 / 229) ❌",0.151,11.42,11.42
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],97.31,99.78,98.71,93.32,82.39,96.58,97.37,50.0,"[cumin.real.9511a582c32f.csv] cloves:87, cumin:287, oregano:9 → cumin (287 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:172, cumin:188, oregano:23 → cumin (188 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:53, cumin:330, oregano:0 → cumin (330 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:113, oregano:0 → cumin (113 / 115) ✅ | [oregano.real.552189cd9ba7.csv] cloves:314, cumin:66, oregano:1 → cloves (314 / 381) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:48, cumin:30, oregano:37 → cloves (48 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:67, cumin:156, oregano:1 → cumin (156 / 224) ❌",0.143,14.92,14.92
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],98.66,98.7,99.35,97.84,91.74,84.21,97.3,94.12,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:102, oregano:2 → cumin (102 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:41, cumin:75, oregano:11 → cumin (75 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:118, oregano:0 → cumin (118 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [oregano.real.552189cd9ba7.csv] cloves:109, cumin:17, oregano:0 → cloves (109 / 126) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:22, cumin:0, oregano:15 → cloves (22 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:63, oregano:1 → cumin (63 / 74) ❌",0.142,6.92,6.92
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.48,98.36,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:4, cumin:59, oregano:0 → cumin (59 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:14, cumin:49, oregano:0 → cumin (49 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:45, cumin:17, oregano:0 → cloves (45 / 62) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:8, oregano:0 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:2, cumin:34, oregano:0 → cumin (34 / 36) ❌",0.141,-0.52,0.52
