Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_nutmeg,Test_Overall,Test_cloves,Test_cumin,Test_nutmeg,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],94.42,100.0,94.16,88.89,91.3,100.0,84.62,88.89,"[cumin.real.9511a582c32f.csv] cloves:5, cumin:112, nutmeg:11 → cumin (112 / 128) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:32, nutmeg:6 → cumin (32 / 38) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:97, cumin:31, nutmeg:0 → cloves (97 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:14, cumin:90, nutmeg:24 → cumin (90 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, nutmeg:4 → cumin (35 / 39) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:2, nutmeg:39 → nutmeg (39 / 41) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:38, cumin:0, nutmeg:1 → cloves (38 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:36, cumin:38, nutmeg:1 → cumin (38 / 75) ❌",0.476,3.12,3.12
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],96.88,100.0,92.31,98.46,86.54,100.0,83.33,75.0,"[cumin.real.9511a582c32f.csv] cloves:9, cumin:40, nutmeg:14 → cumin (40 / 63) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:16, nutmeg:2 → cumin (16 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:31, cumin:18, nutmeg:14 → cloves (31 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:3, cumin:58, nutmeg:2 → cumin (58 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:17, nutmeg:0 → cumin (17 / 18) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:0, nutmeg:8 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:14, cumin:7, nutmeg:15 → nutmeg (15 / 36) ❌",0.405,10.34,10.34
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],65.62,91.67,25.0,87.5,86.67,100.0,60.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:8, nutmeg:1 → cloves (10 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:2, nutmeg:3 → nutmeg (3 / 5) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:19, cumin:0, nutmeg:0 → cloves (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:1, nutmeg:17 → nutmeg (17 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:2, nutmeg:2 → cumin (2 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:1, nutmeg:5 → nutmeg (5 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:0, nutmeg:1 → cloves (4 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, nutmeg:0 → cloves (11 / 11) ✅",0.402,-21.05,21.05
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],93.47,100.0,93.33,86.24,89.66,100.0,83.33,85.19,"[cumin.real.9511a582c32f.csv] cloves:34, cumin:58, nutmeg:5 → cumin (58 / 97) ✅ | [nutmeg.bdedca695511.csv] cloves:4, cumin:23, nutmeg:2 → cumin (23 / 29) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:84, cumin:13, nutmeg:0 → cloves (84 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:97, cumin:0, nutmeg:0 → cloves (97 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, nutmeg:2 → cumin (28 / 30) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:5, nutmeg:25 → nutmeg (25 / 32) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, nutmeg:0 → cloves (30 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:46, cumin:11, nutmeg:0 → cloves (46 / 57) ✅",0.399,3.81,3.81
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],90.4,100.0,95.32,73.51,84.23,100.0,91.23,59.05,"[cumin.real.9511a582c32f.csv] cloves:141, cumin:215, nutmeg:27 → cumin (215 / 383) ✅ | [nutmeg.bdedca695511.csv] cloves:20, cumin:89, nutmeg:4 → cumin (89 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:270, cumin:113, nutmeg:0 → cloves (270 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:252, cumin:3, nutmeg:128 → cloves (252 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:8, cumin:104, nutmeg:3 → cumin (104 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:11, cumin:13, nutmeg:98 → nutmeg (98 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:97, cumin:7, nutmeg:11 → cloves (97 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:137, cumin:87, nutmeg:0 → cloves (137 / 224) ✅",0.373,6.17,6.17
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],94.89,100.0,91.74,92.59,90.8,100.0,86.67,85.19,"[cumin.real.9511a582c32f.csv] cloves:27, cumin:64, nutmeg:6 → cumin (64 / 97) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:25, nutmeg:4 → cumin (25 / 29) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:71, cumin:26, nutmeg:0 → cloves (71 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:97 → nutmeg (97 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, nutmeg:2 → cumin (28 / 30) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:5, nutmeg:27 → nutmeg (27 / 32) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, nutmeg:0 → cloves (30 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:38, cumin:19, nutmeg:0 → cloves (38 / 57) ✅",0.372,4.09,4.09
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],94.57,100.0,89.89,93.81,85.12,100.0,77.19,77.14,"[cumin.real.9511a582c32f.csv] cloves:131, cumin:205, nutmeg:47 → cumin (205 / 383) ✅ | [nutmeg.bdedca695511.csv] cloves:7, cumin:50, nutmeg:56 → nutmeg (56 / 113) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:258, cumin:105, nutmeg:20 → cloves (258 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:190, cumin:52, nutmeg:141 → cloves (190 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:90, nutmeg:23 → cumin (90 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:21, cumin:25, nutmeg:76 → nutmeg (76 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:88, cumin:24, nutmeg:3 → cloves (88 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:84, cumin:113, nutmeg:27 → cumin (113 / 224) ❌",0.359,9.45,9.45
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",92.19,100.0,85.22,91.48,84.33,99.18,63.87,90.0,"[cumin.real.9511a582c32f.csv] cloves:142, cumin:222, nutmeg:24 → cumin (222 / 388) ✅ | [nutmeg.bdedca695511.csv] cloves:48, cumin:60, nutmeg:10 → cumin (60 / 118) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:258, cumin:115, nutmeg:15 → cloves (258 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:206, nutmeg:180 → cumin (206 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:17, cumin:69, nutmeg:34 → cumin (69 / 120) ✅ | [nutmeg.66ddb6a76271.csv] cloves:16, cumin:26, nutmeg:85 → nutmeg (85 / 127) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:90, cumin:18, nutmeg:12 → cloves (90 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:94, cumin:120, nutmeg:15 → cumin (120 / 229) ❌",0.341,7.86,7.86
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],95.76,100.0,89.61,97.92,94.78,100.0,84.62,100.0,"[cumin.real.9511a582c32f.csv] cloves:91, cumin:35, nutmeg:2 → cloves (91 / 128) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:26, nutmeg:12 → cumin (26 / 38) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:121, cumin:7, nutmeg:0 → cloves (121 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:24, cumin:10, nutmeg:94 → nutmeg (94 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, nutmeg:2 → cumin (37 / 39) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:2, nutmeg:39 → nutmeg (39 / 41) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, nutmeg:0 → cloves (39 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:70, cumin:5, nutmeg:0 → cloves (70 / 75) ✅",0.331,0.98,0.98
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",87.5,98.48,78.57,85.71,98.08,100.0,94.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:45, cumin:16, nutmeg:2 → cloves (45 / 63) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:15, nutmeg:3 → cumin (15 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, nutmeg:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:63 → nutmeg (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:16, nutmeg:2 → cumin (16 / 18) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:1, nutmeg:18 → nutmeg (18 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, nutmeg:0 → cloves (18 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:36, cumin:0, nutmeg:0 → cloves (36 / 36) ✅",0.286,-10.58,10.58
