Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_almond,Test_Overall,Test_cloves,Test_cumin,Test_almond,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],98.66,97.4,100.0,98.65,98.25,94.74,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:1, cumin:0, almond:18 → almond (18 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:8, cumin:0, almond:11 → almond (11 / 19) ❌",0.674,0.41,0.41
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],100.0,100.0,100.0,100.0,98.32,97.5,97.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:127, almond:1 → cumin (127 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:128, almond:0 → cumin (128 / 128) ✅ | [almond.77e42e4a9108.csv] cloves:3, cumin:0, almond:36 → almond (36 / 39) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, almond:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:15, cumin:0, almond:24 → almond (24 / 39) ❌",0.66,1.68,1.68
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.16,97.3,98.37,95.76,95.4,93.1,96.43,96.67,"[cumin.real.9511a582c32f.csv] cloves:63, cumin:15, almond:18 → cloves (63 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:94, almond:0 → cumin (94 / 96) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:29 → almond (29 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:28, cumin:0, almond:1 → cloves (28 / 29) ✅",0.658,1.76,1.76
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:12, almond:51 → almond (51 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:19 → almond (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, almond:0 → cloves (19 / 19) ✅",0.638,0.0,0.0
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],99.72,99.12,100.0,100.0,97.8,96.67,96.67,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:28, almond:69 → almond (69 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:97, almond:0 → cumin (97 / 97) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:30 → almond (30 / 30) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, almond:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:1, almond:2 → cloves (27 / 30) ✅",0.638,1.92,1.92
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],99.79,99.33,100.0,100.0,95.8,90.0,97.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:8, cumin:34, almond:86 → almond (86 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:128, almond:0 → cumin (128 / 128) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:39 → almond (39 / 39) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, almond:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:32, cumin:0, almond:7 → cloves (32 / 39) ✅",0.63,3.99,3.99
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",98.44,96.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:2, almond:17 → almond (17 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:5 → almond (5 / 5) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:5, almond:0 → cumin (5 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:0, almond:0 → cloves (5 / 5) ✅",0.621,-1.56,1.56
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],98.51,96.07,100.0,99.42,96.71,93.44,96.64,100.0,"[cumin.real.9511a582c32f.csv] cloves:83, cumin:268, almond:37 → cumin (268 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:379, almond:0 → cumin (379 / 388) ✅ | [almond.77e42e4a9108.csv] cloves:17, cumin:0, almond:104 → almond (104 / 121) ✅ | [cumin.24c868eadb47.csv] cloves:7, cumin:112, almond:1 → cumin (112 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:48, cumin:14, almond:58 → almond (58 / 120) ❌",0.595,1.8,1.8
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:61, almond:2 → cumin (61 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, almond:0 → cloves (63 / 63) ❌ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:18 → almond (18 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, almond:0 → cloves (18 / 18) ✅",0.594,0.0,0.0
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",98.98,96.93,100.0,100.0,96.16,92.62,96.64,99.19,"[cumin.real.9511a582c32f.csv] cloves:34, cumin:316, almond:38 → cumin (316 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:292, almond:0 → cumin (292 / 388) ✅ | [almond.77e42e4a9108.csv] cloves:11, cumin:0, almond:110 → almond (110 / 121) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:119, almond:1 → cumin (119 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:38, cumin:17, almond:65 → almond (65 / 120) ❌",0.585,2.82,2.82
