Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_almond,Test_Overall,Test_cloves,Test_cumin,Test_almond,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,98.85,100.0,96.43,100.0,"[cumin.real.9511a582c32f.csv] cloves:83, cumin:6, almond:7 → cloves (83 / 96) ❌ | [almond.real.49de32f710f8.csv] cloves:96, cumin:0, almond:0 → cloves (96 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:77, cumin:2, almond:17 → cloves (77 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, almond:0 → cloves (96 / 96) ❌ | [almond.77e42e4a9108.csv] cloves:2, cumin:1, almond:26 → almond (26 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:26, cumin:0, almond:3 → cloves (26 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:31, cumin:2, almond:23 → cloves (31 / 56) ✅",0.161,1.15,1.15
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],79.69,88.0,41.18,100.0,93.75,100.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:18, cumin:1, almond:0 → cloves (18 / 19) ❌ | [almond.real.49de32f710f8.csv] cloves:1, cumin:0, almond:18 → almond (18 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:19, cumin:0, almond:0 → cloves (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:11, cumin:8, almond:0 → cloves (11 / 19) ❌ | [almond.77e42e4a9108.csv] cloves:4, cumin:0, almond:1 → cloves (4 / 5) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:2, almond:1 → cloves (2 / 5) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:0, almond:1 → cloves (4 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, almond:0 → cloves (11 / 11) ✅",0.128,-14.06,14.06
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",96.54,92.77,99.58,97.28,94.79,89.34,96.64,98.39,"[cumin.real.9511a582c32f.csv] cloves:84, cumin:279, almond:25 → cumin (279 / 388) ✅ | [almond.real.49de32f710f8.csv] cloves:35, cumin:353, almond:0 → cumin (353 / 388) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:84, cumin:195, almond:109 → cumin (195 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:60, cumin:328, almond:0 → cumin (328 / 388) ✅ | [almond.77e42e4a9108.csv] cloves:16, cumin:2, almond:103 → almond (103 / 121) ✅ | [cumin.24c868eadb47.csv] cloves:4, cumin:116, almond:0 → cumin (116 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:35, almond:55 → almond (55 / 120) ❌ | [cloves.real.64c1deab910f.csv] cloves:41, cumin:147, almond:41 → cumin (147 / 229) ❌",0.109,1.75,1.75
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],100.0,100.0,100.0,100.0,99.16,100.0,97.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:128, almond:0 → cumin (128 / 128) ✅ | [almond.real.49de32f710f8.csv] cloves:102, cumin:26, almond:0 → cloves (102 / 128) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:22, cumin:51, almond:55 → almond (55 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:97, cumin:31, almond:0 → cloves (97 / 128) ❌ | [almond.77e42e4a9108.csv] cloves:4, cumin:0, almond:35 → almond (35 / 39) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, almond:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:20, cumin:2, almond:17 → cloves (20 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:7, cumin:47, almond:21 → cumin (47 / 75) ❌",0.1,0.84,0.84
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],99.25,98.14,100.0,99.61,96.44,95.08,94.96,99.19,"[cumin.real.9511a582c32f.csv] cloves:85, cumin:261, almond:42 → cumin (261 / 388) ✅ | [almond.real.49de32f710f8.csv] cloves:244, cumin:144, almond:0 → cloves (244 / 388) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:131, cumin:127, almond:130 → cloves (131 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:202, cumin:186, almond:0 → cloves (202 / 388) ❌ | [almond.77e42e4a9108.csv] cloves:17, cumin:0, almond:104 → almond (104 / 121) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:119, almond:0 → cumin (119 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:49, cumin:16, almond:55 → almond (55 / 120) ❌ | [cloves.real.64c1deab910f.csv] cloves:50, cumin:104, almond:75 → cumin (104 / 229) ❌",0.1,2.81,2.81
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],99.55,98.68,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:2, cumin:58, almond:3 → cumin (58 / 63) ✅ | [almond.real.49de32f710f8.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:7, cumin:10, almond:46 → almond (46 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:19 → almond (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:0, almond:14 → almond (14 / 19) ❌ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:10, almond:27 → almond (27 / 37) ❌",0.09,-0.45,0.45
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",98.3,97.3,98.37,99.15,96.55,93.1,96.43,100.0,"[cumin.real.9511a582c32f.csv] cloves:37, cumin:32, almond:27 → cloves (37 / 96) ❌ | [almond.real.49de32f710f8.csv] cloves:3, cumin:93, almond:0 → cumin (93 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:9, cumin:6, almond:81 → almond (81 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:96, almond:0 → cumin (96 / 96) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:29 → almond (29 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:24, cumin:0, almond:5 → cloves (24 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:1, cumin:4, almond:51 → almond (51 / 56) ❌",0.09,1.75,1.75
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],100.0,100.0,100.0,100.0,97.81,97.54,95.8,100.0,"[cumin.real.9511a582c32f.csv] cloves:9, cumin:182, almond:197 → almond (197 / 388) ❌ | [almond.real.49de32f710f8.csv] cloves:0, cumin:388, almond:0 → cumin (388 / 388) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:16, cumin:86, almond:286 → almond (286 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:388, almond:0 → cumin (388 / 388) ✅ | [almond.77e42e4a9108.csv] cloves:9, cumin:2, almond:110 → almond (110 / 121) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:120, almond:0 → cumin (120 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:79, cumin:14, almond:27 → cloves (79 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:1, cumin:74, almond:154 → almond (154 / 229) ❌",0.081,2.19,2.19
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.55,100.0,98.65,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:35, cumin:92, almond:0 → cumin (92 / 127) ✅ | [almond.real.49de32f710f8.csv] cloves:56, cumin:71, almond:0 → cumin (71 / 127) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:44, cumin:82, almond:1 → cumin (82 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:66, cumin:61, almond:0 → cloves (66 / 127) ❌ | [almond.77e42e4a9108.csv] cloves:10, cumin:0, almond:28 → almond (28 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, almond:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:3, almond:5 → cloves (29 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:66, almond:0 → cumin (66 / 74) ❌",0.079,-0.45,0.45
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],93.75,96.0,87.5,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:7, almond:12 → almond (12 / 19) ❌ | [almond.real.49de32f710f8.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:2, almond:17 → almond (17 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:6 → almond (6 / 6) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, almond:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:0, almond:1 → cloves (5 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:3, almond:8 → almond (8 / 11) ❌",0.072,-6.25,6.25
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.8,99.79,100.0,99.61,97.53,96.72,96.64,99.19,"[cumin.real.9511a582c32f.csv] cloves:51, cumin:155, almond:182 → almond (182 / 388) ❌ | [almond.real.49de32f710f8.csv] cloves:133, cumin:255, almond:0 → cumin (255 / 388) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:38, cumin:87, almond:263 → almond (263 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:183, cumin:205, almond:0 → cumin (205 / 388) ✅ | [almond.77e42e4a9108.csv] cloves:13, cumin:0, almond:108 → almond (108 / 121) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:120, almond:0 → cumin (120 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:69, cumin:34, almond:17 → cloves (69 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:17, cumin:50, almond:162 → almond (162 / 229) ❌",0.061,2.27,2.27
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],98.58,95.54,100.0,100.0,98.9,100.0,96.67,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:29, almond:68 → almond (68 / 97) ❌ | [almond.real.49de32f710f8.csv] cloves:1, cumin:96, almond:0 → cumin (96 / 97) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:9, almond:88 → almond (88 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:96, almond:0 → cumin (96 / 97) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:30 → almond (30 / 30) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, almond:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:26, cumin:1, almond:3 → cloves (26 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:12, almond:45 → almond (45 / 57) ❌",0.059,-0.32,0.32
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",98.65,99.13,96.83,100.0,98.57,97.44,98.25,100.0,"[cumin.real.9511a582c32f.csv] cloves:193, cumin:112, almond:78 → cloves (193 / 383) ❌ | [almond.real.49de32f710f8.csv] cloves:332, cumin:51, almond:0 → cloves (332 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:165, cumin:84, almond:134 → cloves (165 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:255, cumin:128, almond:0 → cloves (255 / 383) ❌ | [almond.77e42e4a9108.csv] cloves:3, cumin:2, almond:111 → almond (111 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:4, cumin:109, almond:2 → cumin (109 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:84, cumin:14, almond:17 → cloves (84 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:39, cumin:51, almond:134 → almond (134 / 224) ❌",0.054,0.08,0.08
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,98.9,100.0,96.67,100.0,"[cumin.real.9511a582c32f.csv] cloves:4, cumin:81, almond:12 → cumin (81 / 97) ✅ | [almond.real.49de32f710f8.csv] cloves:97, cumin:0, almond:0 → cloves (97 / 97) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:4, cumin:53, almond:40 → cumin (53 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:97, cumin:0, almond:0 → cloves (97 / 97) ❌ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:28 → almond (28 / 30) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, almond:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:21, cumin:6, almond:3 → cloves (21 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:28, almond:29 → almond (29 / 57) ❌",0.052,1.1,1.1
