timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
319716,60,79,100,801,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
320712,60,78,100,801,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
321708,60,78,100,801,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
322704,59,78,101,801,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
323700,59,78,101,801,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
324696,59,79,101,801,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
325692,60,78,101,800,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
326688,60,78,102,800,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
327684,60,79,101,800,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
328680,60,79,101,800,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
329676,60,78,101,799,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
330672,60,79,101,798,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
331668,60,78,101,798,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
332664,60,79,101,799,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
333660,60,78,101,799,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
334656,60,79,101,799,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
335652,60,78,101,798,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
336648,60,79,102,799,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
337644,60,78,101,798,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
338640,60,79,101,799,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
339636,60,79,101,800,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
340632,60,79,102,801,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
341628,61,78,101,803,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
342624,60,78,102,807,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
343620,60,78,101,809,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
344616,61,79,102,811,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
345612,60,78,102,811,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
346608,61,79,102,812,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
347604,60,78,102,814,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
348600,61,78,102,815,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
349596,60,78,102,816,0,3,0,33.59,688.6,100.0,0.0,3170.54,1
350592,60,78,102,816,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
351588,61,79,102,816,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
