Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_nutmeg,Test_Overall,Test_cloves,Test_cumin,Test_nutmeg,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",65.62,100.0,76.92,11.11,73.33,100.0,100.0,20.0,"[cumin.real.9511a582c32f.csv] cloves:17, cumin:1, nutmeg:1 → cloves (17 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:1, cumin:4, nutmeg:0 → cumin (4 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:19, cumin:0, nutmeg:0 → cloves (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:15, nutmeg:4 → cumin (15 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:5, nutmeg:0 → cumin (5 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:3, nutmeg:1 → cumin (3 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:0, nutmeg:0 → cloves (5 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, nutmeg:0 → cloves (11 / 11) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:8, cumin:10, nutmeg:1 → cumin (10 / 19) ❌",0.23,-7.71,7.71
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",71.88,100.0,90.91,0.0,66.67,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:18, cumin:1, nutmeg:0 → cloves (18 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:1, cumin:3, nutmeg:1 → cumin (3 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:19, cumin:0, nutmeg:0 → cloves (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:5, nutmeg:0 → cumin (5 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:5, nutmeg:0 → cumin (5 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:0, nutmeg:0 → cloves (5 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, nutmeg:0 → cloves (11 / 11) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ✅",0.18,5.21,5.21
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",93.44,100.0,87.85,91.92,92.77,100.0,85.71,92.31,"[cumin.real.9511a582c32f.csv] cloves:81, cumin:12, nutmeg:3 → cloves (81 / 96) ❌ | [nutmeg.bdedca695511.csv] cloves:10, cumin:17, nutmeg:1 → cumin (17 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:96, cumin:0, nutmeg:0 → cloves (96 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:93, cumin:0, nutmeg:3 → cloves (93 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, nutmeg:1 → cumin (28 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:2, nutmeg:26 → nutmeg (26 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, nutmeg:0 → cloves (29 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:56, cumin:0, nutmeg:0 → cloves (56 / 56) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:92, cumin:1, nutmeg:3 → cloves (92 / 96) ❌",0.162,0.67,0.67
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",92.71,100.0,87.88,90.62,94.23,100.0,83.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:51, cumin:10, nutmeg:2 → cloves (51 / 63) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:14, nutmeg:4 → cumin (14 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, nutmeg:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:63 → nutmeg (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:16, nutmeg:2 → cumin (16 / 18) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:1, nutmeg:17 → nutmeg (17 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, nutmeg:0 → cloves (18 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:36, cumin:0, nutmeg:0 → cloves (36 / 36) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:47, cumin:5, nutmeg:11 → cloves (47 / 63) ❌",0.161,-1.52,1.52
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],92.63,100.0,98.04,79.31,95.65,100.0,97.44,88.89,"[cumin.real.9511a582c32f.csv] cloves:81, cumin:46, nutmeg:1 → cloves (81 / 128) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:34, nutmeg:4 → cumin (34 / 38) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:115, cumin:13, nutmeg:0 → cloves (115 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:7, nutmeg:121 → nutmeg (121 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, nutmeg:0 → cumin (39 / 39) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:6, nutmeg:35 → nutmeg (35 / 41) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:38, cumin:1, nutmeg:0 → cloves (38 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:64, cumin:11, nutmeg:0 → cloves (64 / 75) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:36, cumin:89, nutmeg:3 → cumin (89 / 128) ❌",0.157,-3.02,3.02
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",94.23,99.32,95.17,86.99,92.66,100.0,78.38,100.0,"[cumin.real.9511a582c32f.csv] cloves:103, cumin:22, nutmeg:2 → cloves (103 / 127) ❌ | [nutmeg.bdedca695511.csv] cloves:15, cumin:22, nutmeg:0 → cumin (22 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:127, cumin:0, nutmeg:0 → cloves (127 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, nutmeg:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, nutmeg:0 → cumin (37 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:5, nutmeg:35 → nutmeg (35 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:33, cumin:4, nutmeg:0 → cloves (33 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:59, cumin:15, nutmeg:0 → cloves (59 / 74) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:123, cumin:3, nutmeg:1 → cloves (123 / 127) ❌",0.132,1.57,1.57
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],94.95,100.0,90.34,94.26,88.07,100.0,78.38,85.29,"[cumin.real.9511a582c32f.csv] cloves:47, cumin:61, nutmeg:19 → cumin (61 / 127) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:31, nutmeg:6 → cumin (31 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:79, cumin:43, nutmeg:5 → cloves (79 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:55, cumin:13, nutmeg:59 → nutmeg (59 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:27, nutmeg:8 → cumin (27 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:0, nutmeg:40 → nutmeg (40 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:1, nutmeg:7 → cloves (29 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:26, cumin:32, nutmeg:16 → cumin (32 / 74) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:97, cumin:30, nutmeg:0 → cloves (97 / 127) ❌",0.124,6.88,6.88
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],96.39,100.0,91.49,97.56,87.16,100.0,70.27,91.18,"[cumin.real.9511a582c32f.csv] cloves:33, cumin:78, nutmeg:16 → cumin (78 / 127) ✅ | [nutmeg.bdedca695511.csv] cloves:1, cumin:18, nutmeg:18 → cumin (18 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:69, cumin:56, nutmeg:2 → cloves (69 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:80, cumin:7, nutmeg:40 → cloves (80 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:27, nutmeg:9 → cumin (27 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:0, nutmeg:40 → nutmeg (40 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:4, nutmeg:8 → cloves (25 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:30, cumin:42, nutmeg:2 → cumin (42 / 74) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:102, cumin:21, nutmeg:4 → cloves (102 / 127) ❌",0.12,9.23,9.23
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",89.73,99.79,83.51,85.32,88.99,98.29,78.95,89.52,"[cumin.real.9511a582c32f.csv] cloves:255, cumin:118, nutmeg:10 → cloves (255 / 383) ❌ | [nutmeg.bdedca695511.csv] cloves:34, cumin:63, nutmeg:16 → cumin (63 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:320, cumin:63, nutmeg:0 → cloves (320 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:313, cumin:0, nutmeg:70 → cloves (313 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:94, nutmeg:21 → cumin (94 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:3, cumin:19, nutmeg:100 → nutmeg (100 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:106, cumin:9, nutmeg:0 → cloves (106 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:150, cumin:74, nutmeg:0 → cloves (150 / 224) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:367, cumin:7, nutmeg:9 → cloves (367 / 383) ❌",0.118,0.74,0.74
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",93.32,100.0,88.48,91.42,84.9,100.0,66.39,88.18,"[cumin.real.9511a582c32f.csv] cloves:160, cumin:196, nutmeg:32 → cumin (196 / 388) ✅ | [nutmeg.bdedca695511.csv] cloves:46, cumin:56, nutmeg:16 → cumin (56 / 118) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:276, cumin:97, nutmeg:15 → cloves (276 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:179, cumin:24, nutmeg:185 → nutmeg (185 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:5, cumin:67, nutmeg:48 → cumin (67 / 120) ✅ | [nutmeg.66ddb6a76271.csv] cloves:5, cumin:16, nutmeg:106 → nutmeg (106 / 127) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:96, cumin:18, nutmeg:6 → cloves (96 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:84, cumin:131, nutmeg:14 → cumin (131 / 229) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:319, cumin:31, nutmeg:38 → cloves (319 / 388) ❌",0.118,8.42,8.42
