Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_nutmeg,Test_Overall,Test_cloves,Test_cumin,Test_nutmeg,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],73.44,100.0,44.0,84.21,76.47,100.0,33.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:5, nutmeg:3 → cloves (11 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:1, nutmeg:4 → nutmeg (4 / 5) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:16, cumin:2, nutmeg:1 → cloves (16 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:0, nutmeg:6 → nutmeg (6 / 6) ❌ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:4, nutmeg:2 → cumin (4 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, nutmeg:0 → cloves (6 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:7, cumin:3, nutmeg:1 → cloves (7 / 11) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ✅",0.115,-3.03,3.03
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],81.25,76.92,90.0,77.78,73.33,80.0,80.0,60.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, nutmeg:0 → cumin (19 / 19) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:3, nutmeg:2 → cumin (3 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:5, cumin:14, nutmeg:0 → cumin (14 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:17, nutmeg:2 → cumin (17 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:3, nutmeg:1 → cumin (3 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:2, nutmeg:4 → nutmeg (4 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:2, nutmeg:0 → cloves (3 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:2, cumin:9, nutmeg:0 → cumin (9 / 11) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:0, cumin:12, nutmeg:7 → cumin (12 / 19) ❌",0.108,7.92,7.92
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],93.82,98.52,83.95,99.55,83.76,93.44,61.34,97.27,"[cumin.real.9511a582c32f.csv] cloves:133, cumin:229, nutmeg:26 → cumin (229 / 388) ✅ | [nutmeg.bdedca695511.csv] cloves:15, cumin:79, nutmeg:24 → cumin (79 / 118) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:182, cumin:167, nutmeg:39 → cloves (182 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:204, cumin:184, nutmeg:0 → cloves (204 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:89, nutmeg:30 → cumin (89 / 120) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:19, nutmeg:106 → nutmeg (106 / 127) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:70, cumin:48, nutmeg:2 → cloves (70 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:84, cumin:85, nutmeg:60 → cumin (85 / 229) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:283, cumin:99, nutmeg:6 → cloves (283 / 388) ❌",0.103,10.06,10.06
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],91.48,99.58,89.12,85.39,81.2,98.36,63.87,80.91,"[cumin.real.9511a582c32f.csv] cloves:87, cumin:255, nutmeg:46 → cumin (255 / 388) ✅ | [nutmeg.bdedca695511.csv] cloves:17, cumin:68, nutmeg:33 → cumin (68 / 118) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:190, cumin:183, nutmeg:15 → cloves (190 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:208, cumin:1, nutmeg:179 → cloves (208 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:7, cumin:76, nutmeg:37 → cumin (76 / 120) ✅ | [nutmeg.66ddb6a76271.csv] cloves:3, cumin:12, nutmeg:112 → nutmeg (112 / 127) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:98, cumin:16, nutmeg:6 → cloves (98 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:65, cumin:152, nutmeg:12 → cumin (152 / 229) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:310, cumin:49, nutmeg:29 → cloves (310 / 388) ❌",0.1,10.28,10.28
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.22,100.0,98.97,98.64,91.74,97.54,84.03,93.64,"[cumin.real.9511a582c32f.csv] cloves:257, cumin:110, nutmeg:21 → cloves (257 / 388) ❌ | [nutmeg.bdedca695511.csv] cloves:31, cumin:72, nutmeg:15 → cumin (72 / 118) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:289, cumin:84, nutmeg:15 → cloves (289 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:166, cumin:202, nutmeg:20 → cumin (202 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:12, cumin:86, nutmeg:22 → cumin (86 / 120) ✅ | [nutmeg.66ddb6a76271.csv] cloves:17, cumin:77, nutmeg:33 → cumin (77 / 127) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:76, cumin:37, nutmeg:7 → cloves (76 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:173, cumin:40, nutmeg:16 → cloves (173 / 229) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:265, cumin:111, nutmeg:12 → cloves (265 / 388) ❌",0.09,7.48,7.48
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",93.53,99.36,90.21,90.57,87.2,97.44,77.19,86.67,"[cumin.real.9511a582c32f.csv] cloves:249, cumin:125, nutmeg:9 → cloves (249 / 383) ❌ | [nutmeg.bdedca695511.csv] cloves:42, cumin:59, nutmeg:12 → cumin (59 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:311, cumin:72, nutmeg:0 → cloves (311 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:296, cumin:32, nutmeg:55 → cloves (296 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:83, nutmeg:31 → cumin (83 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:9, cumin:30, nutmeg:83 → nutmeg (83 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:103, cumin:12, nutmeg:0 → cloves (103 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:129, cumin:95, nutmeg:0 → cloves (129 / 224) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:363, cumin:17, nutmeg:3 → cloves (363 / 383) ❌",0.088,6.33,6.33
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",98.21,100.0,96.13,98.6,90.43,97.5,74.36,100.0,"[cumin.real.9511a582c32f.csv] cloves:81, cumin:41, nutmeg:6 → cloves (81 / 128) ❌ | [nutmeg.bdedca695511.csv] cloves:22, cumin:13, nutmeg:3 → cloves (22 / 38) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:108, cumin:19, nutmeg:1 → cloves (108 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:17, nutmeg:111 → nutmeg (111 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:31, nutmeg:8 → cumin (31 / 39) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:12, nutmeg:28 → nutmeg (28 / 41) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:20, cumin:13, nutmeg:6 → cloves (20 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:26, cumin:48, nutmeg:1 → cumin (48 / 75) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:42, cumin:12, nutmeg:74 → nutmeg (74 / 128) ✅",0.077,7.78,7.78
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],59.38,75.0,78.57,20.0,73.33,80.0,80.0,60.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, nutmeg:0 → cumin (19 / 19) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:4, nutmeg:1 → cumin (4 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:11, cumin:8, nutmeg:0 → cloves (11 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:6, nutmeg:4 → cloves (9 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:3, nutmeg:1 → cumin (3 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:2, nutmeg:4 → nutmeg (4 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:2, nutmeg:0 → cloves (3 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:4, cumin:7, nutmeg:0 → cumin (7 / 11) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:1, cumin:16, nutmeg:2 → cumin (16 / 19) ❌",0.077,-13.95,13.95
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",98.66,100.0,97.67,98.26,93.75,96.58,89.47,95.24,"[cumin.real.9511a582c32f.csv] cloves:226, cumin:153, nutmeg:4 → cloves (226 / 383) ❌ | [nutmeg.bdedca695511.csv] cloves:47, cumin:61, nutmeg:5 → cumin (61 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:288, cumin:95, nutmeg:0 → cloves (288 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:336, cumin:46, nutmeg:1 → cloves (336 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:86, nutmeg:27 → cumin (86 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:10, cumin:51, nutmeg:61 → nutmeg (61 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:95, cumin:20, nutmeg:0 → cloves (95 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:120, cumin:104, nutmeg:0 → cloves (120 / 224) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:364, cumin:19, nutmeg:0 → cloves (364 / 383) ❌",0.045,4.91,4.91
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],84.38,100.0,89.71,61.67,96.36,100.0,100.0,88.24,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:38, nutmeg:2 → cumin (38 / 63) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:17, nutmeg:1 → cumin (17 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:49, cumin:14, nutmeg:0 → cloves (49 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:63 → nutmeg (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, nutmeg:0 → cumin (19 / 19) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:17, nutmeg:3 → cumin (17 / 20) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:2, nutmeg:0 → cloves (17 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:6, cumin:31, nutmeg:0 → cumin (31 / 37) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:0, cumin:26, nutmeg:37 → nutmeg (37 / 63) ✅",0.026,-11.98,11.98
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",98.32,100.0,97.92,96.75,81.65,100.0,70.27,73.53,"[cumin.real.9511a582c32f.csv] cloves:85, cumin:41, nutmeg:1 → cloves (85 / 127) ❌ | [nutmeg.bdedca695511.csv] cloves:31, cumin:1, nutmeg:5 → cloves (31 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:119, cumin:8, nutmeg:0 → cloves (119 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:115, cumin:0, nutmeg:12 → cloves (115 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, nutmeg:18 → cumin (19 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:7, cumin:1, nutmeg:32 → nutmeg (32 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:21, cumin:6, nutmeg:10 → cloves (21 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:45, cumin:29, nutmeg:0 → cloves (45 / 74) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:121, cumin:2, nutmeg:4 → cloves (121 / 127) ❌",0.007,16.67,16.67
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",85.42,100.0,67.65,90.32,78.85,100.0,38.89,100.0,"[cumin.real.9511a582c32f.csv] cloves:50, cumin:11, nutmeg:2 → cloves (50 / 63) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:9, nutmeg:9 → cumin (9 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, nutmeg:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:63 → nutmeg (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:7, nutmeg:11 → nutmeg (11 / 18) ❌ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:8, nutmeg:10 → nutmeg (10 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, nutmeg:0 → cloves (18 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:36, cumin:0, nutmeg:0 → cloves (36 / 36) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:37, cumin:2, nutmeg:24 → cloves (37 / 63) ❌",0.004,6.57,6.57
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],90.31,100.0,80.0,91.09,85.54,100.0,78.57,76.92,"[cumin.real.9511a582c32f.csv] cloves:22, cumin:63, nutmeg:11 → cumin (63 / 96) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:17, nutmeg:11 → cumin (17 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:43, cumin:50, nutmeg:3 → cumin (50 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:16, cumin:2, nutmeg:78 → nutmeg (78 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:20, nutmeg:8 → cumin (20 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:1, nutmeg:28 → nutmeg (28 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:1, nutmeg:5 → cloves (23 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:40, nutmeg:6 → cumin (40 / 56) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:44, cumin:32, nutmeg:20 → cloves (44 / 96) ❌",-0.005,4.77,4.77
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.52,100.0,99.29,99.19,93.58,100.0,91.89,88.24,"[cumin.real.9511a582c32f.csv] cloves:54, cumin:73, nutmeg:0 → cumin (73 / 127) ✅ | [nutmeg.bdedca695511.csv] cloves:27, cumin:8, nutmeg:2 → cloves (27 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:83, cumin:44, nutmeg:0 → cloves (83 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:114, cumin:0, nutmeg:13 → cloves (114 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:20, nutmeg:17 → cumin (20 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:4, cumin:1, nutmeg:35 → nutmeg (35 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:24, cumin:7, nutmeg:6 → cloves (24 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:65, nutmeg:0 → cumin (65 / 74) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:116, cumin:11, nutmeg:0 → cloves (116 / 127) ❌",-0.014,5.94,5.94
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",99.4,100.0,98.95,99.26,92.86,96.58,92.11,89.52,"[cumin.real.9511a582c32f.csv] cloves:306, cumin:26, nutmeg:51 → cloves (306 / 383) ❌ | [nutmeg.bdedca695511.csv] cloves:50, cumin:57, nutmeg:6 → cumin (57 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:327, cumin:12, nutmeg:44 → cloves (327 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:231, cumin:152, nutmeg:0 → cloves (231 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:3, cumin:80, nutmeg:32 → cumin (80 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:17, cumin:88, nutmeg:17 → cumin (88 / 122) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:109, cumin:4, nutmeg:2 → cloves (109 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:182, cumin:26, nutmeg:16 → cloves (182 / 224) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:351, cumin:32, nutmeg:0 → cloves (351 / 383) ❌",-0.026,6.54,6.54
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",94.95,100.0,93.1,90.83,95.41,100.0,86.49,100.0,"[cumin.real.9511a582c32f.csv] cloves:48, cumin:76, nutmeg:3 → cumin (76 / 127) ✅ | [nutmeg.bdedca695511.csv] cloves:3, cumin:34, nutmeg:0 → cumin (34 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:58, cumin:69, nutmeg:0 → cumin (69 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:49, cumin:0, nutmeg:78 → nutmeg (78 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, nutmeg:0 → cumin (37 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:2, nutmeg:38 → nutmeg (38 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:37, cumin:0, nutmeg:0 → cloves (37 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:15, cumin:59, nutmeg:0 → cumin (59 / 74) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:116, cumin:7, nutmeg:4 → cloves (116 / 127) ❌",-0.027,-0.46,0.46
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",89.58,100.0,83.33,86.15,94.23,100.0,83.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:59, cumin:3, nutmeg:1 → cloves (59 / 63) ❌ | [nutmeg.bdedca695511.csv] cloves:7, cumin:10, nutmeg:1 → cumin (10 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, nutmeg:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:55, cumin:0, nutmeg:8 → cloves (55 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:15, nutmeg:3 → cumin (15 / 18) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:15, nutmeg:3 → cumin (15 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, nutmeg:0 → cloves (18 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:36, cumin:0, nutmeg:0 → cloves (36 / 36) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:60, cumin:2, nutmeg:1 → cloves (60 / 63) ❌",-0.03,-4.65,4.65
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",40.62,80.0,50.0,0.0,26.67,60.0,20.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:1, cumin:18, nutmeg:0 → cumin (18 / 19) ✅ | [nutmeg.bdedca695511.csv] cloves:1, cumin:4, nutmeg:0 → cumin (4 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:1, cumin:18, nutmeg:0 → cumin (18 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:17, nutmeg:0 → cumin (17 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:3, cumin:2, nutmeg:0 → cloves (3 / 5) ❌ | [nutmeg.66ddb6a76271.csv] cloves:6, cumin:0, nutmeg:0 → cloves (6 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:1, nutmeg:0 → cloves (4 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:3, nutmeg:0 → cloves (8 / 11) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:12, cumin:6, nutmeg:1 → cloves (12 / 19) ❌",-0.068,13.95,13.95
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],82.29,96.97,78.46,70.49,94.55,100.0,84.21,100.0,"[cumin.real.9511a582c32f.csv] cloves:33, cumin:25, nutmeg:5 → cloves (33 / 63) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:14, nutmeg:4 → cumin (14 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:55, cumin:8, nutmeg:0 → cloves (55 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:63 → nutmeg (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:12, nutmeg:7 → cumin (12 / 19) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:13, nutmeg:7 → cumin (13 / 20) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:2, nutmeg:0 → cloves (17 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:29, cumin:8, nutmeg:0 → cloves (29 / 37) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:0, cumin:59, nutmeg:4 → cumin (59 / 63) ❌",-0.078,-12.26,12.26
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",94.38,100.0,93.52,89.11,80.72,96.55,60.71,84.62,"[cumin.real.9511a582c32f.csv] cloves:87, cumin:9, nutmeg:0 → cloves (87 / 96) ❌ | [nutmeg.bdedca695511.csv] cloves:18, cumin:8, nutmeg:2 → cloves (18 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:94, cumin:2, nutmeg:0 → cloves (94 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:91, cumin:0, nutmeg:5 → cloves (91 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:27, nutmeg:2 → cumin (27 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:5, cumin:19, nutmeg:6 → cumin (19 / 30) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:4, nutmeg:0 → cloves (25 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:34, cumin:22, nutmeg:0 → cloves (34 / 56) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:94, cumin:2, nutmeg:0 → cloves (94 / 96) ❌",-0.081,13.66,13.66
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",92.49,98.93,95.55,81.48,82.74,100.0,74.56,72.38,"[cumin.real.9511a582c32f.csv] cloves:127, cumin:236, nutmeg:20 → cumin (236 / 383) ✅ | [nutmeg.bdedca695511.csv] cloves:51, cumin:44, nutmeg:18 → cloves (51 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:191, cumin:192, nutmeg:0 → cumin (192 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:276, cumin:0, nutmeg:107 → cloves (276 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:66, nutmeg:49 → cumin (66 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:25, cumin:27, nutmeg:70 → nutmeg (70 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:93, cumin:17, nutmeg:5 → cloves (93 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:29, cumin:195, nutmeg:0 → cumin (195 / 224) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:338, cumin:23, nutmeg:22 → cloves (338 / 383) ❌",-0.095,9.75,9.75
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],79.69,100.0,72.73,66.67,94.12,100.0,83.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:12, cumin:6, nutmeg:1 → cloves (12 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:4, nutmeg:1 → cumin (4 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:16, cumin:3, nutmeg:0 → cloves (16 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:4, nutmeg:2 → cumin (4 / 6) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:5, nutmeg:1 → cumin (5 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, nutmeg:0 → cloves (4 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:3, nutmeg:0 → cloves (8 / 11) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:0, cumin:10, nutmeg:9 → cumin (10 / 19) ❌",-0.099,-14.43,14.43
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",95.43,99.33,92.41,94.21,94.5,100.0,83.78,100.0,"[cumin.real.9511a582c32f.csv] cloves:114, cumin:13, nutmeg:0 → cloves (114 / 127) ❌ | [nutmeg.bdedca695511.csv] cloves:21, cumin:15, nutmeg:1 → cloves (21 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:126, cumin:1, nutmeg:0 → cloves (126 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, nutmeg:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:33, nutmeg:4 → cumin (33 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:22, nutmeg:17 → cumin (22 / 40) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:9, nutmeg:5 → cloves (23 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:39, cumin:35, nutmeg:0 → cloves (39 / 74) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:125, cumin:2, nutmeg:0 → cloves (125 / 127) ❌",-0.107,0.93,0.93
