NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
21,92,30,75,140.7181,16.3178,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,148.6308,16.1515,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,76,143.3836,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,76,145.1879,16.4670,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,145.1879,16.3364,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,76,149.3289,16.3178,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,91,30,75,149.3289,16.4483,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,147.2443,16.5045,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,144.9612,16.3736,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,74,145.8703,16.5233,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,76,139.8403,16.4296,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,75,138.3171,16.2622,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,75,137.6692,16.3178,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,75,138.5338,17.5268,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,76,142.7127,16.3364,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,75,145.8703,16.2437,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,148.3988,16.3364,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,75,147.9360,16.2437,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,75,147.0143,16.2437,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,75,146.0984,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,147.9360,16.3550,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,75,140.7181,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,144.9612,16.2622,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,75,142.4897,16.1883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,29,75,149.3289,16.1883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,75,151.9161,16.2068,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,76,151.2062,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,75,154.3060,16.2993,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,75,149.5623,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,148.3988,16.1331,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,144.9612,15.6439,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,75,145.4150,16.1883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,75,152.6292,16.1147,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,75,142.2670,16.2068,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,76,161.4468,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,75,162.4568,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,157.7139,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,161.1952,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,76,171.0293,16.1515,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,76,161.1952,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,75,161.4468,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,154.3060,16.1331,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,76,126.1029,16.2622,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,29,76,138.7507,16.2622,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,29,76,134.8958,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,156.2444,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,143.8327,16.1515,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,76,142.2670,16.2437,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,75,148.1673,16.2622,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,29,76,152.1534,16.1147,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,75,147.2443,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,76,147.0143,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,29,76,139.8403,17.2904,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,138.9679,16.2068,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,76,139.8403,15.7874,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,75,151.4424,15.3779,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,76,150.4995,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,29,75,150.2647,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,144.9612,16.1147,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,76,150.2647,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,76,149.0959,15.9140,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,29,75,148.6308,15.6082,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,75,155.2722,16.2252,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,165.2663,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,153.1065,15.2204,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,29,76,155.7576,17.0375,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
