Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",91.16,80.43,97.22,96.54,81.82,89.47,100.0,52.94,"[cumin.real.9511a582c32f.csv] cloves:22, cumin:11, oregano:30 → oregano (30 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:58, cumin:5, oregano:0 → cloves (58 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:7, cumin:56, oregano:0 → cumin (56 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [oregano.real.552189cd9ba7.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:1, oregano:0 → cloves (18 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:35, cumin:2, oregano:0 → cloves (35 / 37) ✅",0.461,9.34,9.34
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],88.25,76.95,92.33,95.94,76.36,100.0,73.68,52.94,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:8, oregano:55 → oregano (55 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:2, oregano:61 → oregano (61 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:3, cumin:44, oregano:16 → cumin (44 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:18, oregano:0 → cumin (18 / 19) ✅ | [oregano.real.552189cd9ba7.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:1, oregano:36 → oregano (36 / 37) ❌",0.119,11.89,11.89
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",94.98,94.12,93.66,97.05,94.23,100.0,83.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:37, cumin:12, oregano:14 → cloves (37 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:34, cumin:25, oregano:4 → cloves (34 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:25, cumin:9, oregano:29 → oregano (29 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:56, cumin:0, oregano:6 → cloves (56 / 62) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:0, oregano:8 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:24, cumin:11, oregano:1 → cloves (24 / 36) ✅",0.116,0.75,0.75
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],93.42,89.44,94.05,97.05,88.46,83.33,83.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:3, cumin:49, oregano:11 → cumin (49 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:12, cumin:45, oregano:6 → cumin (45 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:15, cumin:41, oregano:7 → cumin (41 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:16, oregano:0 → cumin (16 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:13, cumin:37, oregano:12 → cumin (37 / 62) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:0, oregano:8 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:3, cumin:31, oregano:2 → cumin (31 / 36) ❌",0.1,4.96,4.96
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",93.42,84.21,99.25,98.05,98.08,94.44,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:17, cumin:23, oregano:23 → cumin (23 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:23, cumin:7, oregano:33 → oregano (33 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:6, cumin:11, oregano:46 → oregano (46 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:45, cumin:1, oregano:16 → cloves (45 / 62) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:3, oregano:5 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:26, cumin:7, oregano:3 → cloves (26 / 36) ✅",0.095,-4.66,4.66
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",78.91,82.7,86.25,68.61,84.62,61.11,94.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:8, cumin:0, oregano:54 → oregano (54 / 62) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:14, cumin:0, oregano:4 → cloves (14 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:0, oregano:36 → oregano (36 / 36) ❌",0.093,-5.71,5.71
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],84.16,87.27,79.72,85.0,78.18,89.47,100.0,41.18,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:24, oregano:39 → oregano (39 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:8, oregano:55 → oregano (55 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:61, oregano:0 → cumin (61 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [oregano.real.552189cd9ba7.csv] cloves:7, cumin:0, oregano:56 → oregano (56 / 63) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:8, cumin:0, oregano:11 → oregano (11 / 19) ❌ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:7, oregano:30 → oregano (30 / 37) ❌",-0.004,5.98,5.98
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",70.54,95.95,53.73,58.63,90.38,100.0,100.0,68.75,"[cumin.real.9511a582c32f.csv] cloves:1, cumin:26, oregano:36 → oregano (36 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:12, oregano:51 → oregano (51 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:60, cumin:3, oregano:0 → cloves (60 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:0, cumin:0, oregano:62 → oregano (62 / 62) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:15, cumin:0, oregano:3 → cloves (15 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:0, oregano:36 → oregano (36 / 36) ❌",-0.071,-19.84,19.84
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",None,99.89,100.0,100.0,99.69,65.45,100.0,0.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:49, cumin:0, oregano:14 → cloves (49 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [oregano.real.552189cd9ba7.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:37, cumin:0, oregano:0 → cloves (37 / 37) ✅",-0.111,34.44,34.44
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],95.31,91.93,96.62,97.73,94.23,100.0,83.33,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, oregano:44 → oregano (44 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:2, cumin:18, oregano:43 → oregano (43 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:5, cumin:34, oregano:24 → cumin (34 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:16, oregano:1 → cumin (16 / 18) ✅ | [oregano.real.552189cd9ba7.csv] cloves:58, cumin:2, oregano:2 → cloves (58 / 62) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:0, oregano:8 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:19, oregano:17 → cumin (19 / 36) ❌",-0.123,1.08,1.08
