Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],82.94,87.65,70.07,89.02,72.81,85.0,87.18,42.86,"[cumin.real.9511a582c32f.csv] cloves:8, cumin:97, oregano:23 → cumin (97 / 128) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:3, cumin:58, oregano:67 → oregano (67 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:31, cumin:92, oregano:5 → cumin (92 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:3, cumin:36, oregano:0 → cumin (36 / 39) ✅ | [oregano.real.552189cd9ba7.csv] cloves:6, cumin:3, oregano:119 → oregano (119 / 128) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:3, oregano:17 → cloves (19 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:2, cumin:36, oregano:37 → oregano (37 / 75) ❌",0.4,10.13,10.13
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",69.94,75.27,70.61,64.19,90.83,100.0,97.3,73.53,"[cumin.real.9511a582c32f.csv] cloves:12, cumin:49, oregano:66 → oregano (66 / 127) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:66, oregano:61 → cumin (66 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:114, oregano:13 → cumin (114 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [oregano.real.552189cd9ba7.csv] cloves:0, cumin:0, oregano:126 → oregano (126 / 126) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:31, cumin:0, oregano:6 → cloves (31 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:11, oregano:63 → oregano (63 / 74) ❌",0.264,-20.89,20.89
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",93.64,93.57,90.34,96.51,91.74,97.37,81.08,97.06,"[cumin.real.9511a582c32f.csv] cloves:88, cumin:17, oregano:22 → cloves (88 / 127) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:78, cumin:43, oregano:6 → cloves (78 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:61, cumin:4, oregano:62 → oregano (62 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:4, cumin:31, oregano:2 → cumin (31 / 37) ✅ | [oregano.real.552189cd9ba7.csv] cloves:85, cumin:0, oregano:41 → cloves (85 / 126) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:21, cumin:0, oregano:16 → cloves (21 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:54, cumin:20, oregano:0 → cloves (54 / 74) ✅",0.128,1.9,1.9
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],94.77,92.79,94.27,97.12,90.83,97.37,78.38,97.06,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:102, oregano:19 → cumin (102 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:23, cumin:89, oregano:15 → cumin (89 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:19, cumin:64, oregano:44 → cumin (64 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:34, oregano:2 → cumin (34 / 37) ✅ | [oregano.real.552189cd9ba7.csv] cloves:73, cumin:26, oregano:27 → cloves (73 / 126) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:20, cumin:0, oregano:17 → cloves (20 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:5, cumin:61, oregano:8 → cumin (61 / 74) ❌",0.095,3.94,3.94
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",96.13,93.61,97.31,97.63,72.81,77.5,79.49,60.0,"[cumin.real.9511a582c32f.csv] cloves:20, cumin:25, oregano:83 → oregano (83 / 128) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:8, cumin:13, oregano:107 → oregano (107 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:7, cumin:121, oregano:0 → cumin (121 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:5, cumin:34, oregano:0 → cumin (34 / 39) ✅ | [oregano.real.552189cd9ba7.csv] cloves:21, cumin:0, oregano:107 → oregano (107 / 128) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:8, cumin:1, oregano:30 → oregano (30 / 39) ❌ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:8, oregano:59 → oregano (59 / 75) ❌",-0.055,23.32,23.32
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",None,99.31,98.18,100.0,99.85,64.91,100.0,0.0,97.14,"[cumin.real.9511a582c32f.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:109, cumin:0, oregano:19 → cloves (109 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ❌ | [oregano.real.552189cd9ba7.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:75, cumin:0, oregano:0 → cloves (75 / 75) ✅",-0.122,34.4,34.4
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],99.52,99.39,99.11,100.0,90.35,97.5,79.49,94.29,"[cumin.real.9511a582c32f.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ❌ | [oregano.real.552189cd9ba7.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:75, cumin:0, oregano:0 → cloves (75 / 75) ✅",-0.143,9.17,9.17
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",,,,,,,,,,-999.0,0.0,0.0
