Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,5,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:1, cumin:0, oregano:372 → oregano (372 / 373) ✅ | [cloves.today.e7a678f64939.csv] cloves:370, cumin:1, oregano:0 → cloves (370 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:371, oregano:0 → cumin (371 / 371) ✅",0.998,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3]",['diff_data_like'],99.65,100.0,98.95,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:9, cumin:0, oregano:364 → oregano (364 / 373) ✅ | [cloves.today.e7a678f64939.csv] cloves:371, cumin:0, oregano:0 → cloves (371 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:5, cumin:366, oregano:0 → cumin (366 / 371) ✅",0.987,99.65,99.65
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.88,100.0,99.65,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:19, cumin:0, oregano:354 → oregano (354 / 373) ✅ | [cloves.today.e7a678f64939.csv] cloves:370, cumin:1, oregano:0 → cloves (370 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:3, cumin:368, oregano:0 → cumin (368 / 371) ✅",0.979,99.88,99.88
long_overlap,60,5,"[0, 1, 2, 3]","['diff_data_like', 'highpass_fft_batch']",99.77,99.65,100.0,99.66,"[oregano.today.7e6e373b92ee.csv] cloves:140, cumin:87, oregano:146 → oregano (146 / 373) ✅ | [cloves.today.e7a678f64939.csv] cloves:333, cumin:11, oregano:27 → cloves (333 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:7, cumin:330, oregano:34 → cumin (330 / 371) ✅",0.726,99.77,99.77
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],91.96,79.54,96.67,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:57, cumin:71, oregano:250 → oregano (250 / 378) ✅ | [cloves.today.e7a678f64939.csv] cloves:253, cumin:123, oregano:0 → cloves (253 / 376) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:40, cumin:312, oregano:24 → cumin (312 / 376) ✅",0.721,91.96,91.96
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",78.59,75.27,60.63,99.32,"[oregano.today.7e6e373b92ee.csv] cloves:50, cumin:121, oregano:202 → oregano (202 / 373) ✅ | [cloves.today.e7a678f64939.csv] cloves:253, cumin:118, oregano:0 → cloves (253 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:131, cumin:232, oregano:8 → cumin (232 / 371) ✅",0.616,78.59,78.59
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:171, cumin:116, oregano:86 → cloves (171 / 373) ❌ | [cloves.today.e7a678f64939.csv] cloves:371, cumin:0, oregano:0 → cloves (371 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:371, oregano:0 → cumin (371 / 371) ✅",0.514,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:179, cumin:83, oregano:111 → cloves (179 / 373) ❌ | [cloves.today.e7a678f64939.csv] cloves:371, cumin:0, oregano:0 → cloves (371 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:371, oregano:0 → cumin (371 / 371) ✅",0.507,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],98.15,94.96,99.3,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:217, cumin:17, oregano:139 → cloves (217 / 373) ❌ | [cloves.today.e7a678f64939.csv] cloves:352, cumin:19, oregano:0 → cloves (352 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:3, cumin:368, oregano:0 → cumin (368 / 371) ✅",0.453,98.15,98.15
long_overlap,60,5,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",98.73,97.86,99.31,98.98,"[oregano.today.7e6e373b92ee.csv] cloves:184, cumin:58, oregano:131 → cloves (184 / 373) ❌ | [cloves.today.e7a678f64939.csv] cloves:343, cumin:5, oregano:23 → cloves (343 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:15, cumin:303, oregano:53 → cumin (303 / 371) ✅",0.416,98.73,98.73
