Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",None,95.88,88.72,100.0,100.0,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ❌",0.0,95.88,95.88
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],98.58,96.08,100.0,100.0,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ❌",0.0,98.58,98.58
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,"[cumin.today.bd6399a46021.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ✅",0.0,100.0,100.0
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",95.98,97.13,93.85,96.57,"[cumin.today.bd6399a46021.csv] cloves:60, cumin:0, oregano:3 → cloves (60 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:36, cumin:0, oregano:26 → cloves (36 / 62) ✅",-0.186,95.98,95.98
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],95.83,93.23,98.4,96.57,"[cumin.today.bd6399a46021.csv] cloves:60, cumin:3, oregano:0 → cloves (60 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:19, cumin:30, oregano:13 → cumin (30 / 62) ❌",-0.718,95.83,95.83
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",69.2,68.67,64.92,73.28,"[cumin.today.bd6399a46021.csv] cloves:19, cumin:0, oregano:44 → oregano (44 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:1, cumin:0, oregano:61 → oregano (61 / 62) ❌",-0.841,69.2,69.2
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],79.4,78.21,66.84,90.44,"[cumin.today.bd6399a46021.csv] cloves:6, cumin:4, oregano:53 → oregano (53 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:7, cumin:3, oregano:53 → oregano (53 / 63) ❌",-0.841,79.4,79.4
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",96.73,94.76,98.96,96.98,"[cumin.today.bd6399a46021.csv] cloves:20, cumin:0, oregano:43 → oregano (43 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:62 → oregano (62 / 62) ❌",-0.841,96.73,96.73
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",69.64,70.04,63.54,74.25,"[cumin.today.bd6399a46021.csv] cloves:5, cumin:1, oregano:57 → oregano (57 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:2, oregano:60 → oregano (60 / 62) ❌",-0.936,69.64,69.64
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",82.53,85.55,66.67,91.7,"[cumin.today.bd6399a46021.csv] cloves:5, cumin:0, oregano:58 → oregano (58 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:2, cumin:0, oregano:61 → oregano (61 / 63) ❌",-0.944,82.53,82.53
