Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_almond,Test_Overall,Test_cloves,Test_cumin,Test_almond,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],95.31,92.0,94.12,100.0,87.5,80.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:5, cumin:14, almond:0 → cumin (14 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:11, cumin:8, almond:0 → cloves (11 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:3, cumin:13, almond:3 → cumin (13 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:5 → almond (5 / 5) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:4, almond:0 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:0, almond:2 → cloves (3 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:3, almond:0 → cloves (8 / 11) ✅",0.732,7.81,7.81
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:53, almond:0 → cumin (53 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:32, cumin:31, almond:0 → cloves (32 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:16 → almond (16 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:17, almond:0 → cumin (17 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:6, almond:2 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:26, almond:0 → cumin (26 / 36) ❌",0.574,0.0,0.0
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],100.0,100.0,100.0,100.0,99.12,100.0,97.3,100.0,"[cumin.real.9511a582c32f.csv] cloves:30, cumin:97, almond:0 → cumin (97 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:67, cumin:57, almond:3 → cloves (67 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:126, almond:0 → cumin (126 / 127) ✅ | [almond.77e42e4a9108.csv] cloves:9, cumin:0, almond:29 → almond (29 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:36, almond:0 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:26, cumin:1, almond:10 → cloves (26 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:21, cumin:53, almond:0 → cumin (53 / 74) ❌",0.572,0.88,0.88
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.55,100.0,98.7,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:26, cumin:37, almond:0 → cumin (37 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:33, cumin:29, almond:1 → cloves (33 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:18, cumin:45, almond:0 → cumin (45 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:16 → almond (16 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:14, cumin:0, almond:4 → cloves (14 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:28, almond:0 → cumin (28 / 36) ❌",0.531,-0.45,0.45
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],67.19,95.45,84.0,5.88,72.22,100.0,100.0,16.67,"[cumin.real.9511a582c32f.csv] cloves:12, cumin:7, almond:0 → cloves (12 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:2, almond:0 → cloves (17 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:6, cumin:0, almond:0 → cloves (6 / 6) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, almond:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:1, almond:0 → cloves (5 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:2, almond:0 → cloves (9 / 11) ✅",0.416,-5.03,5.03
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:26, cumin:101, almond:0 → cumin (101 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:48, cumin:77, almond:2 → cumin (77 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:8, cumin:119, almond:0 → cumin (119 / 127) ✅ | [almond.77e42e4a9108.csv] cloves:6, cumin:0, almond:32 → almond (32 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, almond:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:1, almond:9 → cloves (27 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:13, cumin:61, almond:0 → cumin (61 / 74) ❌",0.41,0.0,0.0
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:19, cumin:77, almond:0 → cumin (77 / 96) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:32, cumin:60, almond:4 → cumin (60 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:19, cumin:76, almond:1 → cumin (76 / 96) ✅ | [almond.77e42e4a9108.csv] cloves:4, cumin:0, almond:25 → almond (25 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:24, cumin:2, almond:3 → cloves (24 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:48, almond:0 → cumin (48 / 56) ❌",0.4,0.0,0.0
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,99.43,100.0,98.25,100.0,"[cumin.real.9511a582c32f.csv] cloves:88, cumin:293, almond:2 → cumin (293 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:152, cumin:219, almond:12 → cumin (219 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:161, cumin:220, almond:2 → cumin (220 / 383) ✅ | [almond.77e42e4a9108.csv] cloves:13, cumin:0, almond:103 → almond (103 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:114, almond:0 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:97, cumin:10, almond:8 → cloves (97 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:45, cumin:179, almond:0 → cumin (179 / 224) ❌",0.384,0.57,0.57
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],78.12,88.0,35.29,100.0,81.25,100.0,40.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:19, cumin:0, almond:0 → cloves (19 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:19, cumin:0, almond:0 → cloves (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:7, cumin:9, almond:3 → cumin (9 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:1, cumin:0, almond:4 → almond (4 / 5) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:2, almond:1 → cloves (2 / 5) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:0, almond:1 → cloves (4 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, almond:0 → cloves (11 / 11) ✅",0.382,-3.13,3.13
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],100.0,100.0,100.0,100.0,99.71,100.0,99.12,100.0,"[cumin.real.9511a582c32f.csv] cloves:75, cumin:308, almond:0 → cumin (308 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:125, cumin:245, almond:13 → cumin (245 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:115, cumin:268, almond:0 → cumin (268 / 383) ✅ | [almond.77e42e4a9108.csv] cloves:23, cumin:0, almond:93 → almond (93 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:114, almond:0 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:92, cumin:3, almond:20 → cloves (92 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:31, cumin:193, almond:0 → cumin (193 / 224) ❌",0.371,0.29,0.29
