Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long_first_6,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],41.41,17.86,88.46,16.0,50.0,36.0,,-999,41.41,41.41
no_overlap_long_first_6,100,100,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",41.41,96.67,87.5,0.0,0.0,13.64,,-999,41.41,41.41
no_overlap_long_first_6,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",42.19,100.0,50.0,32.0,18.18,0.0,,-999,42.19,42.19
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",43.2,30.1,43.23,41.59,50.58,50.57,,-999,43.2,43.2
no_overlap_short_first_4,20,20,"[0, 1, 2, 3]","['standard_scaler', 'highpass_fft_batch']",43.36,34.72,61.44,28.1,27.39,63.98,,-999,43.36,43.36
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",43.96,58.42,18.37,0.0,44.9,90.91,,-999,43.96,43.96
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",44.01,29.86,82.24,8.44,47.13,51.55,,-999,44.01,44.01
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",44.11,51.91,56.98,12.97,50.82,46.32,,-999,44.11,44.11
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]",['standard_scaler'],45.31,70.0,80.0,39.13,16.0,16.0,,-999,45.31,45.31
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],45.31,100.0,60.87,0.0,48.0,0.0,,-999,45.31,45.31
short_overlap_first_4,10,5,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",45.53,46.1,55.18,29.67,46.48,49.19,,-999,45.53,45.53
medium_overlap_first_4,30,15,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",45.67,67.49,60.78,29.84,25.51,42.93,,-999,45.67,45.67
