Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,96.97,97.86,87.44,100.0,99.83,99.84,,-999,96.97,96.97
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],97.01,100.0,99.33,92.26,94.87,98.77,,-999,97.01,97.01
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],97.07,97.63,99.49,90.55,98.59,99.0,,-999,97.07,97.07
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]",None,97.92,93.75,98.96,97.94,98.99,100.0,,-999,97.92,97.92
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],98.12,97.87,98.95,95.83,98.99,98.96,,-999,98.12,98.12
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],98.14,94.31,100.0,96.52,100.0,100.0,,-999,98.14,98.14
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],98.33,98.95,100.0,93.62,98.99,100.0,,-999,98.33,98.33
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],98.33,100.0,100.0,92.63,98.97,100.0,,-999,98.33,98.33
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],98.34,94.89,99.19,100.0,100.0,97.58,,-999,98.34,98.34
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]",None,98.89,99.34,100.0,99.68,95.49,99.84,,-999,98.89,98.89
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],99.06,96.53,99.68,99.84,100.0,99.2,,-999,99.06,99.06
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],99.41,98.58,99.49,100.0,100.0,99.0,,-999,99.41,99.41
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]",None,99.48,98.6,100.0,100.0,99.36,99.39,,-999,99.48,99.48
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]",None,99.61,100.0,98.99,100.0,99.06,100.0,,-999,99.61,99.61
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,99.61,100.0,100.0,98.04,100.0,100.0,,-999,99.61,99.61
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],99.8,99.84,99.84,100.0,99.5,99.84,,-999,99.8,99.8
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,100.0,100.0,,-999,100.0,100.0
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,100.0,100.0,,-999,100.0,100.0
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,100.0,100.0,,-999,100.0,100.0
