Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],93.05,89.85,92.07,97.64,"[cumin.today.bd6399a46021.csv] cloves:41, cumin:36, oregano:19 → cloves (41 / 96) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:9, cumin:4, oregano:83 → oregano (83 / 96) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:62, cumin:32, oregano:1 → cloves (62 / 95) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:15, cumin:30, oregano:50 → oregano (50 / 95) ❌",-0.185,93.05,93.05
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",83.46,77.06,81.85,92.26,"[cumin.today.bd6399a46021.csv] cloves:49, cumin:1, oregano:46 → cloves (49 / 96) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:9, cumin:18, oregano:69 → oregano (69 / 96) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:18, cumin:34, oregano:43 → oregano (43 / 95) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:44, cumin:0, oregano:51 → oregano (51 / 95) ❌",-0.195,83.46,83.46
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",81.21,81.33,74.28,88.3,"[cumin.today.bd6399a46021.csv] cloves:136, cumin:70, oregano:177 → oregano (177 / 383) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:31, cumin:9, oregano:343 → oregano (343 / 383) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:115, cumin:18, oregano:248 → oregano (248 / 381) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:104, cumin:46, oregano:231 → oregano (231 / 381) ❌",-0.206,81.21,81.21
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",90.73,84.6,95.29,93.07,"[cumin.today.bd6399a46021.csv] cloves:43, cumin:12, oregano:41 → cloves (43 / 96) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:16, cumin:13, oregano:67 → oregano (67 / 96) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:56, cumin:39, oregano:0 → cloves (56 / 95) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:20, cumin:8, oregano:67 → oregano (67 / 95) ❌",-0.261,90.73,90.73
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],85.43,77.52,85.39,94.72,"[cumin.today.bd6399a46021.csv] cloves:4, cumin:15, oregano:78 → oregano (78 / 97) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:4, cumin:0, oregano:93 → oregano (93 / 97) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:35, cumin:8, oregano:53 → oregano (53 / 96) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:16, cumin:17, oregano:63 → oregano (63 / 96) ❌",-0.263,85.43,85.43
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],89.28,90.17,83.65,94.3,"[cumin.today.bd6399a46021.csv] cloves:33, cumin:6, oregano:89 → oregano (89 / 128) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:4, cumin:1, oregano:123 → oregano (123 / 128) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:38, cumin:5, oregano:85 → oregano (85 / 128) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:23, cumin:8, oregano:97 → oregano (97 / 128) ❌",-0.289,89.28,89.28
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",94.57,91.12,97.31,95.65,"[cumin.today.bd6399a46021.csv] cloves:44, cumin:18, oregano:1 → cloves (44 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:4, cumin:5, oregano:54 → oregano (54 / 63) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:46, cumin:16, oregano:0 → cloves (46 / 62) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:17, cumin:8, oregano:37 → oregano (37 / 62) ❌",-0.295,94.57,94.57
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",81.96,76.77,77.97,92.2,"[cumin.today.bd6399a46021.csv] cloves:42, cumin:38, oregano:308 → oregano (308 / 388) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:43, cumin:8, oregano:337 → oregano (337 / 388) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:146, cumin:63, oregano:177 → oregano (177 / 386) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:36, cumin:36, oregano:314 → oregano (314 / 386) ❌",-0.299,81.96,81.96
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],87.99,88.27,79.0,97.07,"[cumin.today.bd6399a46021.csv] cloves:80, cumin:32, oregano:15 → cloves (80 / 127) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:12, cumin:5, oregano:110 → oregano (110 / 127) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:108, cumin:18, oregano:0 → cloves (108 / 126) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:31, cumin:21, oregano:74 → oregano (74 / 126) ❌",-0.302,87.99,87.99
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",55.4,45.83,55.56,65.22,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:2, oregano:17 → oregano (17 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:5, cumin:0, oregano:14 → oregano (14 / 19) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:6, cumin:2, oregano:11 → oregano (11 / 19) ❌",-0.303,55.4,55.4
