Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],92.12,87.25,89.26,95.04,100.0,89.33,"[rendai.c6effaa6260e.csv] bodai:1, chienan:1, go:1, reihai:5, rendai:54 → rendai (54 / 62) ✅ | [bodai.a4c24f0cd466.csv] bodai:56, chienan:3, go:4, reihai:0, rendai:0 → bodai (56 / 63) ✅ | [go.6152c50431f8.csv] bodai:3, chienan:3, go:53, reihai:1, rendai:3 → go (53 / 63) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:63, rendai:0 → reihai (63 / 63) ✅ | [chienan.58b3fecd3230.csv] bodai:1, chienan:60, go:0, reihai:1, rendai:0 → chienan (60 / 62) ✅",0.914,92.12,92.12
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],85.05,74.32,79.87,93.66,91.78,86.09,"[rendai.c6effaa6260e.csv] bodai:2, chienan:0, go:9, reihai:0, rendai:51 → rendai (51 / 62) ✅ | [bodai.a4c24f0cd466.csv] bodai:53, chienan:0, go:4, reihai:0, rendai:6 → bodai (53 / 63) ✅ | [go.6152c50431f8.csv] bodai:1, chienan:0, go:53, reihai:0, rendai:9 → go (53 / 63) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:63, rendai:0 → reihai (63 / 63) ✅ | [chienan.58b3fecd3230.csv] bodai:4, chienan:45, go:9, reihai:0, rendai:4 → chienan (45 / 62) ✅",0.846,85.05,85.05
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],87.1,70.69,94.08,95.48,96.62,77.96,"[rendai.c6effaa6260e.csv] bodai:2, chienan:6, go:24, reihai:3, rendai:91 → rendai (91 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:92, chienan:1, go:20, reihai:0, rendai:14 → bodai (92 / 127) ✅ | [go.6152c50431f8.csv] bodai:0, chienan:1, go:117, reihai:0, rendai:9 → go (117 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:127, rendai:0 → reihai (127 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:2, chienan:105, go:12, reihai:0, rendai:7 → chienan (105 / 126) ✅",0.84,87.1,87.1
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",79.59,80.62,81.43,74.35,82.03,79.67,"[rendai.c6effaa6260e.csv] bodai:12, chienan:0, go:16, reihai:1, rendai:97 → rendai (97 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:117, chienan:4, go:5, reihai:0, rendai:1 → bodai (117 / 127) ✅ | [go.6152c50431f8.csv] bodai:14, chienan:2, go:91, reihai:0, rendai:20 → go (91 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:127, rendai:0 → reihai (127 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:29, chienan:81, go:6, reihai:0, rendai:10 → chienan (81 / 126) ✅",0.81,79.59,79.59
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],82.31,77.32,89.32,85.62,85.47,73.51,"[rendai.c6effaa6260e.csv] bodai:7, chienan:4, go:24, reihai:9, rendai:82 → rendai (82 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:104, chienan:5, go:9, reihai:0, rendai:9 → bodai (104 / 127) ✅ | [go.6152c50431f8.csv] bodai:6, chienan:2, go:101, reihai:9, rendai:9 → go (101 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:1, go:0, reihai:126, rendai:0 → reihai (126 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:1, chienan:99, go:12, reihai:13, rendai:1 → chienan (99 / 126) ✅",0.809,82.31,82.31
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",76.53,74.91,90.61,75.57,76.27,64.9,"[rendai.c6effaa6260e.csv] bodai:12, chienan:3, go:25, reihai:5, rendai:81 → rendai (81 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:79, chienan:18, go:15, reihai:3, rendai:12 → bodai (79 / 127) ✅ | [go.6152c50431f8.csv] bodai:8, chienan:2, go:93, reihai:7, rendai:17 → go (93 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:2, chienan:4, go:0, reihai:115, rendai:6 → reihai (115 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:3, chienan:107, go:4, reihai:12, rendai:0 → chienan (107 / 126) ✅",0.75,76.53,76.53
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",76.03,63.41,83.84,81.91,80.32,70.76,"[rendai.c6effaa6260e.csv] bodai:50, chienan:7, go:79, reihai:4, rendai:241 → rendai (241 / 381) ✅ | [bodai.a4c24f0cd466.csv] bodai:286, chienan:17, go:29, reihai:7, rendai:44 → bodai (286 / 383) ✅ | [go.6152c50431f8.csv] bodai:34, chienan:14, go:281, reihai:4, rendai:50 → go (281 / 383) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:383, rendai:0 → reihai (383 / 383) ✅ | [chienan.58b3fecd3230.csv] bodai:64, chienan:240, go:25, reihai:6, rendai:46 → chienan (240 / 381) ✅",0.749,76.03,76.03
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",71.48,61.99,75.73,69.93,70.95,78.41,"[rendai.c6effaa6260e.csv] bodai:11, chienan:1, go:14, reihai:5, rendai:95 → rendai (95 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:103, chienan:2, go:9, reihai:1, rendai:12 → bodai (103 / 127) ✅ | [go.6152c50431f8.csv] bodai:11, chienan:2, go:83, reihai:11, rendai:20 → go (83 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:126, rendai:1 → reihai (126 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:31, chienan:64, go:9, reihai:5, rendai:17 → chienan (64 / 126) ✅",0.744,71.48,71.48
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",94.27,93.55,92.03,94.44,96.77,94.5,"[rendai.c6effaa6260e.csv] bodai:22, chienan:1, go:12, reihai:2, rendai:91 → rendai (91 / 128) ✅ | [bodai.a4c24f0cd466.csv] bodai:104, chienan:1, go:6, reihai:0, rendai:17 → bodai (104 / 128) ✅ | [go.6152c50431f8.csv] bodai:10, chienan:0, go:92, reihai:5, rendai:21 → go (92 / 128) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:128, rendai:0 → reihai (128 / 128) ✅ | [chienan.58b3fecd3230.csv] bodai:52, chienan:61, go:6, reihai:6, rendai:3 → chienan (61 / 128) ✅",0.744,94.27,94.27
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",72.69,75.86,79.87,66.9,80.41,60.4,"[rendai.c6effaa6260e.csv] bodai:8, chienan:2, go:14, reihai:6, rendai:32 → rendai (32 / 62) ✅ | [bodai.a4c24f0cd466.csv] bodai:62, chienan:0, go:1, reihai:0, rendai:0 → bodai (62 / 63) ✅ | [go.6152c50431f8.csv] bodai:12, chienan:6, go:33, reihai:4, rendai:8 → go (33 / 63) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:63, rendai:0 → reihai (63 / 63) ✅ | [chienan.58b3fecd3230.csv] bodai:9, chienan:42, go:9, reihai:1, rendai:1 → chienan (42 / 62) ✅",0.74,72.69,72.69
